Start Date,Total Duration,Trips,Total Distance,Avg Duration,Avg Distance,events,hum_avg,prec,temp_avg,wind_avg,Daylight,Date,Day,DayOfYear,Week,Month,Year
2017-09-01,15438.0,443,938.5499999999997,34.84875846501129,2.118623024830699,Rain,74,0.06,75,14,771.6333333333333,1504224000000000000,5,244,35,9,2017
2017-09-02,35332.0,751,2100.61,47.046604527296935,2.7970838881491344,None,67,0.0,72,7,769.6166666666667,1504310400000000000,6,245,35,9,2017
2017-09-03,38826.0,882,2288.1399999999994,44.02040816326531,2.594263038548752,None,68,0.0,73,6,767.6166666666667,1504396800000000000,0,246,35,9,2017
2017-09-04,35994.0,758,2240.430000000001,47.485488126649074,2.9557124010554108,None,70,0.0,75,4,765.5833333333334,1504483200000000000,1,247,36,9,2017
2017-09-05,7226.0,286,565.1100000000002,25.265734265734267,1.9759090909090917,"Rain,Thunderstorm",76,0.16,77,6,763.5666666666667,1504569600000000000,2,248,36,9,2017
2017-09-06,7712.0,307,650.1299999999998,25.120521172638437,2.1176872964169373,Rain,71,0.07,68,10,761.5333333333333,1504656000000000000,3,249,36,9,2017
2017-09-07,11519.0,349,769.6000000000005,33.00573065902579,2.2051575931232104,None,63,0.0,65,7,759.5,1504742400000000000,4,250,36,9,2017
2017-09-08,14131.0,429,942.8600000000005,32.93939393939394,2.197808857808859,None,61,0.0,69,8,757.45,1504828800000000000,5,251,36,9,2017
2017-09-09,33788.0,750,1953.139999999997,45.050666666666665,2.6041866666666627,None,54,0.0,71,15,755.4,1504915200000000000,6,252,36,9,2017
2017-09-10,18015.0,483,1178.880000000001,37.298136645962735,2.440745341614909,None,55,0.0,67,20,753.35,1505001600000000000,0,253,36,9,2017
2017-09-11,44.0,4,5.72,11.0,1.43,Rain,80,3.62,61,25,751.3,1505088000000000000,1,254,37,9,2017
2017-09-12,2705.0,85,227.76999999999995,31.823529411764707,2.679647058823529,Rain,94,0.24,62,10,749.2333333333333,1505174400000000000,2,255,37,9,2017
2017-09-13,8855.0,337,594.4899999999996,26.275964391691396,1.7640652818991085,None,77,0.01,68,7,747.1833333333333,1505260800000000000,3,256,37,9,2017
2017-09-14,11407.0,337,739.49,33.8486646884273,2.1943323442136498,None,74,0.0,73,4,745.1166666666667,1505347200000000000,4,257,37,9,2017
2017-09-15,11338.0,396,833.6000000000005,28.63131313131313,2.105050505050506,None,74,0.0,74,2,743.05,1505433600000000000,5,258,37,9,2017
