Start Hub,Start Latitude,Start Longitude,Start Date,Start Time,End Hub,End Latitude,End Longitude,End Date,End Time,Bike Name,Distance [Miles],Duration
AUC - WOODRUFF LIBRARY,33.751955,-84.41330667,2017-09-03 00:00:00,2017-09-03 20:36:00,NONE,33.75207,-84.416555,2017-09-08 00:00:00,2017-09-08 09:06:00,2720,5.4,4 days 12:30:00.000000000
WEST END STATION,33.737765,-84.40966167,2017-09-02 00:00:00,2017-09-02 09:35:00,Relay HQ,33.76285,-84.38739333,2017-09-03 00:00:00,2017-09-03 12:02:00,2885,14.49,1 days 02:27:00.000000000
Relay HQ,33.73735667,-84.409025,2017-09-13 00:00:00,2017-09-13 13:34:00,MARTA - ARTS CENTER,33.78938167,-84.38659167,2017-09-14 00:00:00,2017-09-14 20:39:00,2778,44.54,1 days 07:05:00.000000000
STATE & 11TH,33.78335667,-84.39890667,2017-09-22 00:00:00,2017-09-22 19:13:00,Relay HQ,33.73742167,-84.40902833,2017-09-24 00:00:00,2017-09-24 08:50:00,2800,5.32,1 days 13:37:00.000000000
AUC - WOODRUFF LIBRARY,33.75196667,-84.41342833,2017-09-03 00:00:00,2017-09-03 20:33:00,5TH & ARGONNE,33.77551833,-84.37777167,2017-09-05 00:00:00,2017-09-05 10:39:00,2658,25.26,1 days 14:06:00.000000000
HISTORIC WESTSIDE VILLAGE,33.75479667,-84.41422167,2017-09-03 00:00:00,2017-09-03 20:40:00,NONE,33.797325,-84.356105,2017-09-05 00:00:00,2017-09-05 12:11:00,2832,24.37,1 days 15:31:00.000000000
Relay HQ,33.737485,-84.40888667,2017-09-16 00:00:00,2017-09-16 11:10:00,NONE,33.73757,-84.40903,2017-09-18 00:00:00,2017-09-18 09:23:00,2874,0.08,1 days 22:13:00.000000000
PIEDMONT PARK EAST,33.78632167,-84.37134667,2017-09-09 00:00:00,2017-09-09 16:39:00,NONE,33.766075,-84.36208833,2017-09-12 00:00:00,2017-09-12 00:44:00,2744,19.07,2 days 08:05:00.000000000
IRWIN & EASTSIDE BELTLINE,33.759335,-84.38820167,2017-09-30 00:00:00,2017-09-30 01:51:00,NONE,33.75946333,-84.38944000000002,2017-10-02 00:00:00,2017-10-02 17:47:00,2586,6.72,2 days 15:56:00.000000000
NONE,33.73774167,-84.40907167,2017-09-15 00:00:00,2017-09-15 16:24:00,Relay HQ,33.737495,-84.40901,2017-09-18 00:00:00,2017-09-18 09:23:00,2974*,0.16,2 days 16:59:00.000000000
MARTA - KING MEMORIAL ,33.75016,-84.37609499999999,2017-10-07 00:00:00,2017-10-07 11:33:00,Relay HQ (Deleted),33.737538333333305,-84.408905,2017-10-08 00:00:00,2017-10-08 17:09:00,2817,13.41,1 days 05:35:46.000000000
