date,dew_avg,dew_max,dew_min,events,hum_avg,hum_max,hum_min,prec,sea_avg,sea_max,sea_min,temp_avg,temp_max,temp_min,vis_avg,vis_max,vis_min,wind_avg,wind_max,wind_unk
2017-01-01,47,50,41,"Fog,Rain",99,100,93,0.39,30.10,30.15,30.02,46,51,41,2,6,0,10,22,26
2017-01-02,54,57,50,"Fog,Rain,Thunderstorm",99,100,96,1.57,30.09,30.19,29.82,52,57,48,1,9,0,7,24,36
2017-01-03,56,59,54,Fog,89,100,70,0.00,29.86,29.90,29.82,60,64,55,8,10,0,9,15,21
2017-01-04,41,53,24,None,74,97,44,0.00,29.90,30.01,29.81,46,53,39,10,10,10,12,22,28
2017-01-05,30,36,25,None,57,82,32,0.00,29.93,29.99,29.86,44,57,32,10,10,10,5,13,0
2017-01-06,29,31,24,Rain,79,96,43,0.35,30.02,30.10,29.92,34,37,30,8,10,4,11,16,0
2017-01-07,20,28,11,"Rain,Snow",79,96,50,0.00,30.27,30.58,30.03,26,30,21,8,10,2,18,28,36
2017-01-08,10,12,7,None,53,77,25,0.00,30.66,30.75,30.58,25,35,15,10,10,10,10,15,16
2017-01-09,11,15,6,None,39,58,14,0.00,30.64,30.72,30.55,36,45,27,10,10,10,6,13,17
2017-01-10,29,43,11,None,51,64,38,0.00,30.41,30.52,30.30,44,58,30,10,10,10,9,21,27
2017-01-11,47,50,44,None,61,72,49,0.00,30.28,30.35,30.23,61,69,53,10,10,10,9,18,23
2017-01-12,51,54,47,None,71,89,53,0.00,30.33,30.39,30.25,61,72,49,10,10,10,6,16,21
2017-01-13,56,60,53,None,79,100,57,0.00,30.45,30.51,30.37,65,75,54,10,10,10,4,12,16
2017-01-14,54,59,51,None,73,100,46,0.00,30.41,30.48,30.35,65,77,52,10,10,9,2,10,13
2017-01-15,49,54,45,None,64,93,35,0.00,30.28,30.34,30.23,62,73,51,10,10,10,3,10,15
2017-01-16,52,57,48,None,69,89,49,0.00,30.25,30.32,30.21,61,71,51,10,10,8,5,13,15
2017-01-17,55,57,54,None,77,100,53,0.00,30.18,30.23,30.11,64,75,53,8,10,1,8,22,28
2017-01-18,57,61,51,None,73,93,53,0.00,30.10,30.18,30.07,64,71,57,10,10,7,9,17,23
2017-01-19,54,59,49,Rain,72,93,50,0.27,29.97,30.08,29.86,65,75,54,10,10,2,5,16,25
2017-01-20,59,63,54,Rain,75,100,49,0.07,29.83,29.89,29.78,67,74,60,10,10,4,9,20,27
2017-01-21,59,63,55,"Fog,Rain,Thunderstorm",89,100,78,3.12,29.74,29.88,29.60,60,64,56,4,10,0,6,30,38
2017-01-22,56,61,46,"Rain,Thunderstorm",92,100,83,0.65,29.44,29.67,29.15,57,63,50,6,10,0,11,33,45
2017-01-23,47,52,43,Rain,83,100,66,0.30,29.37,29.72,29.16,52,56,48,8,10,2,16,28,35
2017-01-24,39,43,32,None,59,83,35,0.00,29.83,29.91,29.72,54,62,45,10,10,10,12,25,31
2017-01-25,40,54,19,None,49,82,16,0.00,29.86,29.94,29.77,57,72,42,10,10,10,7,20,25
2017-01-26,42,60,25,Rain,65,100,30,0.19,29.88,30.06,29.72,53,64,42,9,10,4,13,24,30
2017-01-27,26,29,22,None,62,82,41,0.00,30.06,30.11,30.02,40,47,33,10,10,10,12,23,29
2017-01-28,21,24,14,None,47,72,22,0.00,30.04,30.12,29.97,43,53,32,10,10,10,11,22,27
2017-01-29,26,29,22,None,52,69,35,0.00,29.96,30.02,29.89,43,52,33,10,10,10,12,23,30
2017-01-30,27,31,25,None,53,75,30,0.00,30.09,30.16,30.01,45,57,33,10,10,10,10,23,28
2017-01-31,34,40,25,None,47,76,17,0.00,30.06,30.10,30.00,57,73,41,10,10,10,9,20,27
2017-02-01,45,51,36,None,62,86,37,0.00,30.10,30.15,30.06,61,71,50,10,10,10,9,17,24
2017-02-02,48,58,40,Rain,68,83,53,0.03,30.16,30.21,30.12,60,71,48,10,10,2,8,15,22
2017-02-03,33,43,7,Rain,56,89,23,0.01,30.21,30.36,30.15,46,57,35,10,10,10,12,22,28
2017-02-04,10,15,5,None,31,43,18,0.00,30.36,30.45,30.29,41,50,31,10,10,10,9,18,23
