Start Date,Total Duration,Trips,Total Distance,Avg Duration,Avg Distance,events,hum_avg,prec,temp_avg,wind_avg,Daylight,Date,Day,DayOfYear,Week,Month,Year
2017-09-01,94803.38333333321,5628,6839.222299709797,16.844950841032908,1.2152136282355717,None,43,0.0,61,15,788.7666666666667,1504224000000000000,5,244,35,9,2017
2017-09-02,108006.5333333333,4348,5110.919159443477,24.840509046304806,1.175464388096476,None,51,0.0,61,10,786.0166666666667,1504310400000000000,6,245,35,9,2017
2017-09-03,17343.449999999997,1124,1208.701863294824,15.430115658362986,1.0753575296217297,Rain,82,0.28,61,13,783.2666666666667,1504396800000000000,0,246,35,9,2017
2017-09-04,121930.98333333308,5071,5850.874423867898,24.04476105962001,1.1537910518374874,None,68,0.0,70,14,780.5,1504483200000000000,1,247,36,9,2017
2017-09-05,92226.84999999995,6235,7582.731957601246,14.791796311146744,1.2161558873458294,None,72,0.0,77,17,777.7333333333333,1504569600000000000,2,248,36,9,2017
2017-09-06,63924.583333333525,5003,6121.602951595694,12.777250316476819,1.2235864384560653,"Rain,Thunderstorm",86,0.22,71,8,774.95,1504656000000000000,3,249,36,9,2017
2017-09-07,89760.43333333332,6387,7770.238326518994,14.053614111998328,1.216570898155471,Rain,72,0.6,68,11,772.1666666666666,1504742400000000000,4,250,36,9,2017
2017-09-08,102191.04999999989,6495,7927.811587348381,15.733802925327158,1.2206022459350856,None,58,0.0,67,10,769.3666666666667,1504828800000000000,5,251,36,9,2017
2017-09-09,101669.03333333351,4853,5655.229735470557,20.94972869015733,1.1653059417825173,Rain,71,0.01,62,8,766.5833333333334,1504915200000000000,6,252,36,9,2017
2017-09-10,94610.53333333359,4607,5131.727994024743,20.536256421387797,1.1138979800357591,None,72,0.0,63,9,763.7833333333333,1505001600000000000,0,253,36,9,2017
2017-09-11,90733.16666666642,6268,7685.131795264002,14.47561689002336,1.226089948191449,None,51,0.0,68,10,760.9666666666667,1505088000000000000,1,254,37,9,2017
2017-09-12,101350.36666666664,6747,8503.704903760463,15.021545378192773,1.2603682975782515,None,50,0.0,74,9,758.15,1505174400000000000,2,255,37,9,2017
2017-09-13,94656.89999999997,6674,8305.314509385895,14.18293377284986,1.244428305272085,"Rain,Thunderstorm",62,0.03,71,9,755.35,1505260800000000000,3,256,37,9,2017
2017-09-14,91039.65000000017,6375,7921.470992610582,14.280729411764732,1.2425836851153853,"Fog,Rain,Thunderstorm",72,0.33,76,11,752.5333333333333,1505347200000000000,4,257,37,9,2017
2017-09-15,79203.31666666684,5623,6677.872357914295,14.085597842195774,1.1875995656970115,"Fog,Rain",88,0.21,72,7,749.7,1505433600000000000,5,258,37,9,2017
2017-09-16,99691.48333333356,4930,5710.969913198801,20.221396213657922,1.1584117470991482,Fog,92,0.0,68,4,746.8833333333333,1505520000000000000,6,259,37,9,2017
2017-09-17,100078.99999999991,4618,5386.719559167419,21.67150281507144,1.166461576259727,Fog,90,0.0,67,4,744.05,1505606400000000000,0,260,37,9,2017
2017-09-18,82812.10000000018,5785,7084.868244941971,14.314969749351803,1.2246963258326657,"Fog,Rain",94,0.01,66,7,741.2166666666667,1505692800000000000,1,261,38,9,2017
2017-09-19,66531.58333333321,5114,6171.298179887138,13.009695606830897,1.2067458310299448,"Fog,Rain",97,0.04,65,14,738.4,1505779200000000000,2,262,38,9,2017
2017-09-20,43103.750000000015,3432,4056.0756575175114,12.55936771561772,1.1818402265493915,Rain,92,0.27,68,20,735.5666666666667,1505865600000000000,3,263,38,9,2017
2017-09-21,80305.41666666688,5818,7029.301285157269,13.802924830984338,1.208198914602487,None,67,0.0,68,23,732.7333333333333,1505952000000000000,4,264,38,9,2017
2017-09-22,51506.350000000144,3929,4634.360889871129,13.109277169763335,1.1795268235864416,Rain,86,0.16,60,22,729.8833333333333,1506038400000000000,5,265,38,9,2017
2017-09-23,111183.71666666637,5124,6100.060800774806,21.69861761644543,1.1904880563573002,"Fog,Rain",81,0.03,68,9,727.05,1506124800000000000,6,266,38,9,2017
2017-09-24,110251.58333333353,4931,5597.874958592634,22.358869059690434,1.1352413219615969,None,80,0.0,70,3,724.2166666666667,1506211200000000000,0,267,38,9,2017
2017-09-25,97715.2166666669,6413,7931.894937675034,15.237052341597833,1.2368462400865483,None,78,0.0,71,5,721.3833333333333,1506297600000000000,1,268,39,9,2017
2017-09-26,93567.08333333302,6562,8181.37416658053,14.258927664329933,1.2467805800945642,Fog,87,0.0,72,5,718.55,1506384000000000000,2,269,39,9,2017
