date,dew_avg,dew_max,dew_min,events,hum_avg,hum_max,hum_min,prec,sea_avg,sea_max,sea_min,temp_avg,temp_max,temp_min,vis_avg,vis_max,vis_min,wind_avg,wind_max,wind_unk
2017-01-01,27,36,21,Rain,64,93,30,0.08,30.11,30.47,29.87,40,44,33,10,10,10,15,23,33
2017-01-02,29,36,23,Rain,72,85,51,0,30.49,30.58,30.36,34,41,28,10,10,10,4,12,0
2017-01-03,41,44,36,Rain,95,100,76,0.47,29.94,30.35,29.38,42,44,39,4,10,1,16,26,32
2017-01-04,37,44,19,"Rain,Snow",84,100,54,0.04,29.42,29.57,29.34,42,48,34,9,10,2,12,23,34
2017-01-05,12,17,9,None,45,59,27,0,29.83,29.95,29.61,30,33,27,10,10,10,16,21,34
2017-01-06,18,24,9,Snow,65,96,34,0.04,30.05,30.24,29.95,28,30,25,8,10,1,7,12,0
2017-01-07,14,19,7,"Fog,Snow",75,92,33,0.12,30.2,30.35,30.04,20,24,17,4,10,0,13,24,32
2017-01-08,4,13,-1,Snow,55,84,25,0,30.21,30.48,30.05,16,21,12,10,10,5,14,16,23
2017-01-09,2,8,-2,None,52,68,26,0,30.64,30.69,30.49,14,19,10,10,10,10,11,16,23
2017-01-10,23,39,9,Rain,79,100,57,0.14,30.55,30.69,30.27,28,39,16,9,10,5,9,26,31
2017-01-11,39,44,32,Rain,71,100,41,0.09,30.22,30.29,30.09,47,55,39,10,10,7,15,32,46
2017-01-12,49,52,42,"Fog,Rain",88,100,64,0.12,30.02,30.21,29.92,50,61,39,8,10,0,12,23,30
2017-01-13,25,52,2,None,86,100,72,0.15,30.31,30.69,29.97,51,61,41,10,10,10,15,26,35
2017-01-14,6,20,-3,None,47,63,31,0,30.56,30.71,30.27,25,31,18,10,10,10,10,18,22
2017-01-15,16,21,11,None,56,75,37,0,30.3,30.42,30.22,32,37,27,10,10,10,9,17,23
2017-01-16,15,20,10,None,54,74,33,0,30.35,30.45,30.22,33,42,23,10,10,10,10,20,28
2017-01-17,27,36,17,"Rain,Snow",66,92,40,0.3,30.19,30.26,30.1,37,42,32,8,10,2,11,22,31
