Start Date,Total Duration,Trips,Total Distance,Avg Duration,Avg Distance,events,hum_avg,prec,temp_avg,wind_avg,Daylight,Date,Day,DayOfYear,Week,Month,Year
2017-07-01,470067.06666666764,19718,27060.4769103146,23.839490144368984,1.3723743234767523,None,61,0.0,74,10,910.2166666666667,1498867200000000000,6,182,26,7,2017
2017-07-02,482085.633333335,19121,25397.992018012206,25.21236511340071,1.3282773922918365,None,59,0.0,76,10,909.5166666666667,1498953600000000000,0,183,26,7,2017
2017-07-03,443979.2499999986,19802,26330.162828096098,22.420929704070225,1.3296718931469598,None,69,0.04,73,9,908.7666666666667,1499040000000000000,1,184,27,7,2017
2017-07-04,500283.4666666682,20164,27536.770850647732,24.810725385174976,1.3656402921368642,None,73,0.0,74,7,907.95,1499126400000000000,2,185,27,7,2017
2017-07-05,290978.0333333353,17734,22890.53271189478,16.407918875230365,1.2907709886035175,Thunderstorm,68,0.0,77,6,907.0833333333334,1499212800000000000,3,186,27,7,2017
2017-07-06,296902.8666666664,18051,23867.547151273888,16.44800103410705,1.3222285275759729,None,59,0.0,81,7,906.15,1499299200000000000,4,187,27,7,2017
2017-07-07,288958.44999999925,17074,22255.299638439334,16.923887196907536,1.3034613821271719,"Rain,Thunderstorm",65,0.01,76,9,905.1666666666666,1499385600000000000,5,188,27,7,2017
2017-07-08,493468.2500000022,21617,30699.547796808925,22.82778600175798,1.4201576442988817,None,61,0.0,71,7,904.1166666666667,1499472000000000000,6,189,27,7,2017
2017-07-09,399399.6500000001,18256,25336.881732984686,21.87771965381245,1.3878660020258922,None,52,0.0,75,8,903.0,1499558400000000000,0,190,27,7,2017
2017-07-10,190892.66666666674,12385,15334.931194078756,15.413214910510032,1.2381858049316719,"Rain,Thunderstorm",71,0.73,76,7,901.85,1499644800000000000,1,191,28,7,2017
2017-07-11,249829.56666666784,16716,21459.4488305395,14.945535215761417,1.2837669795728344,"Rain,Thunderstorm",78,0.56,78,6,900.6333333333333,1499731200000000000,2,192,28,7,2017
2017-07-12,164590.04999999897,12070,15368.858050762772,13.636292460646144,1.2733105261609587,"Rain,Thunderstorm",81,1.77,75,11,899.3666666666667,1499817600000000000,3,193,28,7,2017
2017-07-13,272119.34999999974,17135,22359.84598150845,15.880907499270483,1.3049224383722469,"Rain,Thunderstorm",69,0.01,79,11,898.0333333333333,1499904000000000000,4,194,28,7,2017
2017-07-14,306597.33333333366,18199,24140.84171207333,16.846932981665677,1.3264927585072437,None,71,0.0,68,9,896.6666666666666,1499990400000000000,5,195,28,7,2017
2017-07-15,502285.299999996,21521,30514.821672592872,23.339310440964454,1.4179090968167312,None,70,0.0,71,6,895.2333333333333,1500076800000000000,6,196,28,7,2017
2017-07-16,353741.53333333327,16582,21693.884001709186,21.332862943754268,1.3082790979199848,Rain,73,0.01,69,12,893.7666666666667,1500163200000000000,0,197,28,7,2017
2017-07-17,322666.4999999981,19007,24962.748524388204,16.976192981533018,1.3133450057551537,None,68,0.0,68,6,892.25,1500249600000000000,1,198,29,7,2017
2017-07-18,316263.28333333484,19335,25654.99550462285,16.357035600379355,1.32686814091662,None,62,0.0,75,4,890.6666666666666,1500336000000000000,2,199,29,7,2017
2017-07-19,287541.7166666665,17978,23515.192871324674,15.994088144769524,1.3079982685128866,"Rain,Thunderstorm",74,0.48,79,8,889.05,1500422400000000000,3,200,29,7,2017
2017-07-20,189877.70000000048,12260,15619.614673852482,15.487577487765128,1.2740305606731226,"Rain,Thunderstorm",77,1.77,79,8,887.4,1500508800000000000,4,201,29,7,2017
2017-07-21,236271.5666666677,14049,17798.697098654116,16.817678601086747,1.266901352313625,"Rain,Thunderstorm",74,1.43,81,7,885.6833333333333,1500595200000000000,5,202,29,7,2017
2017-07-22,374537.06666666945,17093,23303.72830170448,21.911722147467938,1.3633492249285952,"Rain,Thunderstorm",75,0.66,80,9,883.9333333333333,1500681600000000000,6,203,29,7,2017
2017-07-23,344995.16666666686,16287,21383.104896140154,21.182241460469506,1.3128940195333796,"Rain,Thunderstorm",66,0.21,80,6,882.15,1500768000000000000,0,204,29,7,2017
2017-07-24,289569.9500000003,17850,23395.613037535157,16.222406162465003,1.3106786015425858,None,67,0.0,70,11,880.3166666666667,1500854400000000000,1,205,30,7,2017
2017-07-25,307576.1166666683,18779,24976.632436079275,16.378727124270107,1.3300299502678137,None,65,0.0,72,8,878.45,1500940800000000000,2,206,30,7,2017
2017-07-26,289404.9999999997,17947,23148.39756385715,16.12553630133168,1.2898198898900735,Rain,69,0.03,75,7,876.5333333333333,1501027200000000000,3,207,30,7,2017
2017-07-27,276292.10000000056,17708,22743.784732565942,15.602671109103262,1.2843790790922713,Rain,65,0.01,76,11,874.5833333333334,1501113600000000000,4,208,30,7,2017
2017-07-28,326668.3333333333,18840,24255.81305724955,17.339083510261855,1.2874635380705706,None,64,0.0,73,14,872.6,1501200000000000000,5,209,30,7,2017
2017-07-29,472780.4666666651,20339,27974.530322811344,23.245020240260835,1.3754132613605066,None,60,0.0,72,10,870.5833333333334,1501286400000000000,6,210,30,7,2017
2017-07-30,404980.9333333329,17915,24613.52335823271,22.605689831612217,1.3739058530969974,None,59,0.0,73,5,868.5333333333333,1501372800000000000,0,211,30,7,2017
2017-07-31,315829.8333333328,18864,24416.20483355334,16.74246359909525,1.2943280764182221,None,58,0.0,76,3,866.45,1501459200000000000,1,212,31,7,2017
2017-08-01,295434.1166666668,18097,23699.84723712921,16.325032694185047,1.3096008861761181,"Rain,Thunderstorm",63,0.92,77,5,864.3333333333334,1501545600000000000,2,213,31,8,2017
2017-08-02,331527.64999999927,19545,25489.524891513316,16.962274238935752,1.304145555974076,"Rain,Thunderstorm",69,0.01,77,7,862.1833333333333,1501632000000000000,3,214,31,8,2017
2017-08-03,249235.94999999946,16272,20898.20931631833,15.31686025073743,1.2843048989871146,"Rain,Thunderstorm",72,0.88,73,9,860.0,1501718400000000000,4,215,31,8,2017
2017-08-04,222704.64999999906,14920,18834.75535506733,14.926585120643368,1.2623830666935207,None,65,0.01,62,14,857.7833333333333,1501804800000000000,5,216,31,8,2017
2017-08-05,466960.96666666784,19841,27557.811682901753,23.535152798078112,1.3889325983015852,None,59,0.0,70,7,855.55,1501891200000000000,6,217,31,8,2017
2017-08-06,317909.2499999988,14812,19812.86182888287,21.462952335943747,1.3376223216907148,None,64,0.0,70,4,853.2833333333333,1501977600000000000,0,218,31,8,2017
2017-08-07,317811.91666666744,18515,23795.35697496765,17.16510486992533,1.2851934634063003,None,63,0.01,69,8,851.0,1502064000000000000,1,219,32,8,2017
2017-08-08,325943.78333333484,19643,25503.600094042817,16.5933810178351,1.2983556531101572,None,52,0.0,71,6,848.6833333333333,1502150400000000000,2,220,32,8,2017
2017-08-09,302129.08333333355,18960,24420.013895045096,15.93507823488046,1.287975416405332,None,59,0.0,72,5,846.3333333333334,1502236800000000000,3,221,32,8,2017
2017-08-10,268374.23333333276,17374,22131.29926765207,15.446888070296579,1.2738171559601743,"Rain,Thunderstorm",66,0.03,73,8,843.9666666666667,1502323200000000000,4,222,32,8,2017
2017-08-11,308149.583333332,18278,23430.05419014214,16.85904274720057,1.281871878222023,None,69,0.0,72,9,841.5833333333334,1502409600000000000,5,223,32,8,2017
2017-08-12,459284.4166666634,19803,26832.430342260584,23.192668619232613,1.3549679514346606,None,67,0.0,69,7,839.1666666666666,1502496000000000000,6,224,32,8,2017
2017-08-13,391784.6500000014,17486,23433.28874046314,22.40561878073896,1.3401171646153003,None,61,0.01,69,4,836.75,1502582400000000000,0,225,32,8,2017
2017-08-14,299055.58333333564,18505,23974.929875474656,16.16079888318485,1.295591995432297,None,65,0.0,73,4,834.3,1502668800000000000,1,226,33,8,2017
2017-08-15,325522.8666666653,19757,26556.478066019845,16.476330751969698,1.3441553913053523,None,71,0.0,76,8,831.8166666666667,1502755200000000000,2,227,33,8,2017
2017-08-16,237677.58333333262,15342,19197.172801687557,15.49195563377217,1.2512822840364721,"Rain,Thunderstorm",70,0.17,78,8,829.3333333333334,1502841600000000000,3,228,33,8,2017
2017-08-17,251871.11666666582,15811,19876.860714140723,15.93011932620744,1.2571539253773147,Rain,71,0.02,77,14,826.8333333333334,1502928000000000000,4,229,33,8,2017
2017-08-18,341656.8500000015,19231,25155.694927207955,17.765943008683973,1.3080804392495426,None,65,0.0,75,11,824.3,1503014400000000000,5,230,33,8,2017
2017-08-19,483882.28333333245,20301,27094.459134426368,23.835391524227006,1.3346366747660887,None,61,0.0,75,5,821.7666666666667,1503100800000000000,6,231,33,8,2017
2017-08-20,356665.8833333348,16117,20921.0703076428,22.1297935926869,1.298074722817075,"Rain,Thunderstorm",61,0.03,77,6,819.2166666666667,1503187200000000000,0,232,33,8,2017
2017-08-21,285811.7833333314,17579,22458.561452829257,16.258705462957586,1.2775790120501311,"Rain,Thunderstorm",71,0.03,79,9,816.65,1503273600000000000,1,233,34,8,2017
2017-08-22,252912.8166666665,16903,21399.74949790732,14.962599341339793,1.2660326272204532,Rain,60,0.02,73,13,814.0666666666667,1503360000000000000,2,234,34,8,2017
2017-08-23,283613.11666666775,18304,23746.1862413586,15.494597719988404,1.297322237836462,None,54,0.0,70,9,811.4666666666667,1503446400000000000,3,235,34,8,2017
2017-08-24,248831.21666666731,16932,21633.223992615345,14.695914048350302,1.2776532006033159,None,63,0.0,66,8,808.85,1503532800000000000,4,236,34,8,2017
2017-08-25,310097.8333333304,18341,23879.30673738665,16.907356923468207,1.3019631828900633,None,58,0.0,63,5,806.2333333333333,1503619200000000000,5,237,34,8,2017
2017-08-26,396739.7999999993,17921,23859.73188525688,22.138262373751424,1.3313839565457775,Rain,58,0.01,67,7,803.6,1503705600000000000,6,238,34,8,2017
2017-08-27,260505.29999999932,12816,16477.220653542736,20.326568352059873,1.2856757688469675,Thunderstorm,69,0.01,70,8,800.95,1503792000000000000,0,239,34,8,2017
2017-08-28,220911.35000000018,15096,18668.294060604294,14.63376722310547,1.2366384512853932,"Rain,Thunderstorm",70,0.36,72,6,798.3,1503878400000000000,1,240,35,8,2017
2017-08-29,215550.83333333358,15420,19721.061174346632,13.978653264159117,1.2789274432131408,Rain,81,0.07,69,5,795.6333333333333,1503964800000000000,2,241,35,8,2017
2017-08-30,248029.7666666674,17452,22318.81901801184,14.212111314844567,1.278868841279615,None,66,0.0,71,6,792.95,1504051200000000000,3,242,35,8,2017
2017-08-31,220213.3666666672,16148,19926.56359263555,13.637191396251374,1.2339957637252632,None,67,0.0,69,14,790.2666666666667,1504137600000000000,4,243,35,8,2017
2017-09-01,230633.70000000045,15074,18587.797652008518,15.300099509088527,1.2331032010089238,None,56,0.0,60,12,787.5833333333334,1504224000000000000,5,244,35,9,2017
2017-09-02,342402.1333333342,14927,19886.906022871495,22.938442643085292,1.332277485286494,Rain,63,0.25,63,5,784.8833333333333,1504310400000000000,6,245,35,9,2017
2017-09-03,514944.5500000007,20290,27469.432683590887,25.37922868408086,1.3538409405416898,None,62,0.0,71,7,782.1666666666666,1504396800000000000,0,246,35,9,2017
2017-09-04,321206.0499999997,14650,18824.49656102583,21.925327645051173,1.2849485707184867,Rain,64,0.01,72,13,779.45,1504483200000000000,1,247,36,9,2017
2017-09-05,210287.5833333328,15078,18781.57153818779,13.946649644073007,1.2456275061803812,Rain,59,0.01,62,13,776.7166666666667,1504569600000000000,2,248,36,9,2017
2017-09-06,177981.98333333325,13895,16918.08358932231,12.809066810603328,1.21756628926393,None,63,0.01,58,10,773.9833333333333,1504656000000000000,3,249,36,9,2017
2017-09-07,199133.73333333334,14862,18509.493593004827,13.398851657470955,1.245424141636713,None,57,0.0,62,8,771.25,1504742400000000000,4,250,36,9,2017
2017-09-08,209077.5333333334,14617,17985.60402069081,14.30372397436775,1.230457961325225,Rain,66,0.01,64,7,768.5,1504828800000000000,5,251,36,9,2017
2017-09-09,295522.2166666646,14826,19461.050534933485,19.93270043617055,1.3126298755519685,None,57,0.0,63,8,765.75,1504915200000000000,6,252,36,9,2017
2017-09-10,286102.71666666685,13803,18612.387649945722,20.72757492332586,1.3484306056615027,None,60,0.0,60,6,763.0,1505001600000000000,0,253,36,9,2017
2017-09-11,239188.51666666605,16181,20283.315860870756,14.782060235255303,1.2535267202812408,None,58,0.0,64,5,760.2333333333333,1505088000000000000,1,254,37,9,2017
