date,dew_avg,dew_max,dew_min,events,hum_avg,hum_max,hum_min,prec,sea_avg,sea_max,sea_min,temp_avg,temp_max,temp_min,vis_avg,vis_max,vis_min,wind_avg,wind_max,wind_unk
2017-01-01,19,24,16,None,69,92,39,0.00,30.12,30.19,30.01,28,39,18,9,10,7,5,13,18
2017-01-02,33,38,24,"Fog,Rain",87,97,68,0.12,30.03,30.16,29.87,34,39,28,4,9,0,6,9,0
2017-01-03,34,38,12,"Fog,Rain",93,100,64,0.00,29.81,29.93,29.75,29,39,19,4,10,0,6,21,28
2017-01-04,2,9,-2,None,60,73,47,0.00,30.04,30.09,29.94,13,19,7,10,10,10,17,25,34
2017-01-05,-3,0,-8,Snow,61,69,53,T,30.09,30.15,30.03,8,13,3,10,10,7,13,20,24
2017-01-06,-7,-4,-9,None,62,75,49,T,30.29,30.47,30.14,5,9,0,10,10,10,10,16,19
2017-01-07,-3,1,-8,None,61,79,43,0.00,30.55,30.68,30.47,9,18,0,10,10,10,11,22,27
2017-01-08,-3,3,-6,None,56,75,37,0.00,30.63,30.76,30.42,11,19,2,10,10,10,10,21,25
2017-01-09,19,24,6,Snow,67,84,49,0.02,30.18,30.37,29.93,26,33,18,8,10,2,13,22,27
2017-01-10,33,48,18,Rain,79,89,68,0.20,29.58,29.96,29.20,38,51,25,8,10,2,23,40,56
2017-01-11,30,42,18,"Fog,Rain,Thunderstorm",85,100,70,0.33,29.78,30.01,29.64,34,43,25,6,10,0,12,22,29
2017-01-12,18,25,7,"Rain,Snow",77,96,57,0.05,30.12,30.55,29.87,24,28,19,7,10,1,11,17,21
2017-01-13,13,21,5,None,72,88,56,0.00,30.71,30.82,30.56,22,27,16,10,10,10,9,15,19
2017-01-14,19,20,17,None,64,75,52,0.00,30.50,30.61,30.45,28,35,21,10,10,9,5,9,11
2017-01-15,19,24,13,None,61,84,38,0.00,30.40,30.48,30.31,28,36,20,10,10,7,2,7,8
2017-01-16,33,37,26,Rain,89,100,78,0.90,30.10,30.30,29.82,34,37,30,3,9,0,6,12,14
2017-01-17,36,38,33,"Rain,Thunderstorm",96,100,92,0.48,29.85,30.02,29.72,37,39,35,5,9,1,10,16,20
2017-01-18,32,34,29,Rain,91,100,82,T,30.09,30.15,30.00,33,36,30,5,10,1,10,16,22
2017-01-19,35,37,30,Rain,90,100,79,0.46,29.93,30.06,29.69,36,42,30,3,5,1,7,12,14
2017-01-20,39,42,37,"Fog,Rain",96,100,92,0.18,29.64,29.69,29.61,41,43,38,2,4,0,6,13,17
2017-01-21,44,48,39,Fog,81,100,62,T,29.55,29.61,29.45,50,59,40,5,10,0,9,20,27
