Hub,Latitude,Longitude
18th & C St NW,38.8972034,-77.046143
Lee Center,38.797063,-77.053688
Franklin & S Washington St,38.798066,-77.048369
Royal & Wilkes St,38.7997552,-77.0467827
Eisenhower Ave & Mill Race Ln,38.801018,-77.068697
Ballenger Ave & Dulaney St,38.802622,-77.063832
Prince St & Union St,38.8031072,-77.0427077
Duke St & John Carlyle St,38.8045912,-77.0635021
Market Square / King St & Royal St,38.8047177,-77.043363
King St & Patrick St,38.805462,-77.050453
Commerce St & Fayette St,38.8056477,-77.05293
King St Metro North / Cameron St,38.805828,-77.052322
King St Metro South,38.807204,-77.060095
Saint Asaph St & Pendleton  St,38.810603,-77.044629
Henry St & Pendleton St,38.8114557,-77.050276
Madison & Fairfax St,38.8124673,-77.0430437
Saint Asaph & Madison St,38.812843,-77.044258
Madison & N Henry St,38.8135522,-77.0520417
Braddock Rd Metro,38.81402,-77.053776
Powhatan St & Bashford Ln,38.818654,-77.047554
Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,38.818875,-77.010156
Mount Vernon Ave & E Nelson Ave,38.819611,-77.057454
Commonwealth & E Monroe Ave,38.820646,-77.059089
Potomac Greens Dr & Slaters Ln,38.8214284,-77.0495861
Potomac Ave & Main Line Blvd,38.82265,-77.048847
Livingston Rd & 3rd St SE,38.824073,-77.001951
Commonwealth Ave & Oak St,38.824302,-77.062548
Mount Vernon Ave & E Del Ray Ave,38.8259996,-77.0585693
Radford & Osage St,38.828303,-77.086107
Potomac & Swann Ave,38.829127,-77.050236
South Capitol & Atlantic St SW,38.83164,-77.009932
Mount Vernon Ave & Kennedy St,38.832928,-77.059892
S Stafford & 34th St S,38.833417,-77.087123
Shirlington Transit Center / S Quincy & Randolph St,38.839418,-77.08727
31st & Woodrow St S,38.840431,-77.097228
Mount Vernon Ave & Bruce St,38.841258,-77.063295
S Arlington Mill Dr & Campbell Ave,38.842133,-77.089697
S Glebe & Potomac Ave,38.842736,-77.050117
Alabama & MLK Ave SE,38.843139,-77.0002096
Mississippi Ave & 19th St SE / THEARC,38.8434167,-76.977154
Mount Vernon Ave & Four Mile Run Park,38.843637,-77.063102
19th & Savannah St SE,38.844141,-76.985204
Potomac Ave & 35th St S,38.844264,-77.050472
S Four Mile Run Dr & S Shirlington Rd,38.844325,-77.085511
Congress Heights Metro,38.8447107,-76.987823
Alabama Ave & Stanton Rd SE / Shops at Park Village,38.845184,-76.981228
28th St S & S Meade St,38.846191,-77.069368
S Four Mile Run & Walter Reed Dr,38.846921,-77.095221
S Troy St & 26th St S,38.8478079,-77.0776239
Crystal Dr & 27th St S,38.848219,-77.051542
Crystal Dr & Potomac Ave,38.848219,-77.051542
27th & Crystal Dr,38.848219,-77.051542
S Kenmore & 24th St S,38.848452,-77.084793
Barcroft Community Center,38.850576,-77.102051
26th & S Clark St,38.850898,-77.051842
Fairfax Dr & Kenmore St,38.8511162,-77.3084956
S George Mason Dr & Four Mile Run,38.8526379,-77.1056488
23rd & Crystal Dr,38.8532997,-77.0498
Crystal Dr & 23rd St S,38.853415,-77.049524
Eads & 22nd St S,38.854013,-77.063204
1st & S Capitol St SE / Oxon Run Trail,38.854292,-77.005789
S Joyce & 16th St S,38.855255,-77.092827
20th & Crystal Dr,38.856114,-77.049321
Crystal Dr & 20th St S,38.856114,-77.049321
S George Mason Dr & 13th St S,38.8562014,-77.1024799
Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,38.856289,-77.112195
18th & Eads St.,38.857482,-77.053077
Aurora Hills Community Ctr/18th & Hayes St,38.857533,-77.059173
Walter Reed Community Center / Walter Reed Dr & 16th St S,38.8577308,-77.089213
