date,dew_avg,dew_max,dew_min,events,hum_avg,hum_max,hum_min,prec,sea_avg,sea_max,sea_min,temp_avg,temp_max,temp_min,vis_avg,vis_max,vis_min,wind_avg,wind_max,wind_unk
2017-01-01,29,36,22,None,50,76,25,0.04,30.21,30.38,29.99,46,55,37,10,10,10,5,13,0
2017-01-02,42,44,34,Rain,94,100,52,0.24,30.32,30.40,30.18,43,45,41,4,10,1,7,12,0
2017-01-03,44,46,42,Rain,97,100,85,0.79,29.81,30.15,29.56,44,46,43,4,10,1,7,10,0
2017-01-04,39,49,9,Fog,82,100,13,0.00,29.62,29.91,29.54,47,57,36,4,10,0,8,16,30
2017-01-05,17,28,9,Snow,47,75,23,0.00,29.98,30.07,29.92,34,37,30,10,10,5,7,12,0
2017-01-06,17,30,8,Snow,53,82,28,0.00,30.12,30.30,29.92,31,34,28,10,10,9,12,16,22
2017-01-07,11,18,4,Snow,63,84,42,0.01,30.28,30.36,30.22,23,27,19,7,10,1,15,23,30
2017-01-08,0,3,-3,None,43,54,32,0.00,30.55,30.76,30.36,20,25,15,10,10,10,14,29,38
2017-01-09,4,9,-1,None,44,54,34,0.00,30.72,30.80,30.64,23,29,16,10,10,10,9,17,22
2017-01-10,15,25,8,None,49,60,38,0.00,30.47,30.61,30.21,32,41,22,10,10,10,12,28,33
2017-01-11,38,49,33,Rain,72,92,51,0.07,30.27,30.37,30.20,46,57,35,10,10,7,9,23,28
2017-01-12,51,53,49,None,73,96,49,0.02,30.13,30.20,30.05,62,72,51,10,10,10,19,30,37
2017-01-13,35,52,22,None,61,83,38,T,30.47,30.69,30.20,54,65,43,10,10,10,13,23,28
2017-01-14,31,35,24,Rain,73,100,45,0.29,30.53,30.69,30.35,39,43,34,8,10,2,5,13,15
2017-01-15,29,35,17,None,61,92,29,0.00,30.38,30.44,30.32,43,49,36,9,10,5,6,14,18
2017-01-16,31,38,26,Rain,60,70,49,0.01,30.41,30.49,30.31,42,46,38,10,10,9,6,13,14
2017-01-17,45,52,39,"Fog,Rain",93,100,86,0.21,30.05,30.28,29.89,47,53,41,6,10,0,5,14,17
2017-01-18,43,47,36,Fog,74,100,47,0.00,29.94,30.10,29.88,52,60,44,5,10,0,11,25,31
2017-01-19,37,39,36,None,76,93,59,0.00,30.07,30.12,30.03,47,53,40,10,10,10,6,13,16
2017-01-20,43,47,37,Rain,88,100,76,0.01,29.94,30.02,29.87,44,49,39,8,10,3,4,12,14
2017-01-21,48,49,46,Rain,97,100,93,T,29.86,29.94,29.77,49,50,47,6,10,1,5,9,12
2017-01-22,48,51,46,"Fog,Rain",97,100,93,0.15,29.67,29.76,29.60,49,52,46,5,10,0,9,16,18
2017-01-23,42,49,37,Rain,93,100,86,0.67,29.49,29.61,29.40,45,50,39,4,10,1,22,37,47
2017-01-24,37,38,35,Rain,77,92,61,0.03,29.54,29.67,29.47,44,49,38,10,10,5,15,30,37
2017-01-25,36,40,33,None,54,71,36,0.00,29.71,29.80,29.57,53,61,45,10,10,10,6,21,33
2017-01-26,34,44,23,Rain,57,82,32,T,29.59,29.81,29.47,52,61,43,10,10,10,12,32,45
2017-01-27,19,26,14,None,42,53,30,0.00,29.83,29.87,29.78,42,45,38,10,10,10,14,26,34
2017-01-28,20,26,17,None,48,64,31,0.00,29.79,29.83,29.73,41,49,33,10,10,10,8,17,24
2017-01-29,25,31,20,None,54,70,37,T,29.77,29.83,29.73,41,47,35,10,10,10,7,16,20
2017-01-30,24,32,11,"Fog,Snow",62,92,32,0.07,29.88,30.07,29.74,35,39,30,7,10,0,10,26,33
2017-01-31,23,35,16,Snow,54,79,28,T,29.87,30.07,29.71,42,56,28,10,10,9,9,20,28
2017-02-01,31,36,27,None,66,92,39,0.00,30.01,30.09,29.93,43,51,34,10,10,10,5,14,17
2017-02-02,25,34,13,None,51,70,31,0.00,30.16,30.26,30.09,43,50,36,10,10,10,8,23,28
2017-02-03,11,13,9,None,36,41,30,0.00,30.26,30.36,30.18,35,40,30,10,10,10,11,26,35
2017-02-04,8,16,1,None,35,50,20,0.00,30.42,30.54,30.29,33,41,24,10,10,10,10,24,30
2017-02-05,21,32,12,None,50,70,29,0.00,30.06,30.27,29.92,43,54,32,10,10,10,10,17,23
2017-02-06,34,38,29,None,66,92,40,0.00,30.09,30.18,29.98,47,61,33,10,10,10,8,14,16
2017-02-07,45,54,38,Rain,66,72,59,T,29.77,29.96,29.60,61,73,48,10,10,10,13,22,32
2017-02-08,47,54,41,Rain,64,89,38,T,29.64,29.69,29.59,63,74,51,10,10,10,10,18,23
2017-02-09,26,45,5,"Rain,Snow,Thunderstorm",63,89,36,0.12,29.79,30.26,29.48,39,53,25,9,10,4,21,36,49
2017-02-10,8,14,4,None,39,50,27,0.00,30.30,30.44,30.05,31,39,23,10,10,10,12,23,32
2017-02-11,28,37,15,None,54,71,37,0.00,29.98,30.02,29.92,44,53,34,10,10,10,5,14,17
2017-02-12,40,47,30,Rain,64,86,41,0.03,29.83,30.00,29.68,50,55,45,10,10,7,9,52,65
2017-02-13,19,24,13,None,42,56,27,0.00,30.02,30.11,29.88,41,47,35,10,10,10,19,37,49
2017-02-14,27,35,20,Rain,60,75,45,T,29.93,30.08,29.72,38,46,30,10,10,10,7,22,27
2017-02-15,26,38,16,None,57,79,34,0.00,29.59,29.70,29.46,46,55,37,10,10,10,11,33,45
2017-02-16,16,23,13,Snow,47,61,33,T,29.81,29.96,29.66,37,42,32,10,10,3,13,30,36
2017-02-17,20,29,15,None,48,64,31,0.00,29.94,29.99,29.88,40,51,28,10,10,10,4,10,13
2017-02-18,32,38,28,None,57,82,31,0.00,29.84,29.93,29.75,51,68,33,10,10,10,7,16,20
2017-02-19,43,47,37,Rain,60,86,33,0.01,29.91,30.06,29.79,60,71,49,10,10,10,9,18,25
2017-02-20,37,44,29,None,58,92,24,0.00,30.20,30.32,30.07,56,68,43,10,10,10,7,20,24
2017-02-21,31,39,22,None,53,71,35,0.00,30.26,30.37,30.12,50,58,41,10,10,10,7,15,18
2017-02-22,45,52,39,Rain,78,93,62,T,29.99,30.11,29.91,55,63,46,10,10,10,7,16,18
2017-02-23,53,55,52,None,75,100,49,0.00,29.88,29.91,29.81,64,75,53,10,10,10,10,17,23
2017-02-24,55,59,52,None,73,100,46,0.00,29.87,29.94,29.79,66,77,54,10,10,10,11,20,24
2017-02-25,50,60,22,"Rain,Thunderstorm",66,93,38,0.18,29.63,29.86,29.43,60,75,44,9,10,2,15,32,46
2017-02-26,19,26,16,None,39,48,29,0.00,30.13,30.33,29.90,43,50,35,10,10,10,11,23,30
2017-02-27,31,37,23,None,57,85,29,0.00,30.39,30.45,30.33,46,55,36,10,10,10,6,15,21
2017-02-28,46,57,34,Rain,75,100,50,0.34,30.21,30.36,30.02,58,68,47,9,10,6,5,12,13
2017-03-01,57,62,51,Rain,75,100,50,0.02,29.73,29.99,29.59,68,80,56,8,10,2,17,39,54
2017-03-02,24,55,17,Rain,54,78,29,0.01,29.97,30.23,29.62,52,63,40,10,10,10,18,36,49
2017-03-03,19,29,6,Snow,52,82,22,T,30.36,30.56,30.21,38,44,31,10,10,6,15,29,40
2017-03-04,9,13,6,None,39,55,22,0.00,30.59,30.63,30.53,35,44,26,10,10,10,12,24,31
2017-03-05,2,12,-4,None,30,42,17,0.00,30.65,30.76,30.54,32,40,23,10,10,10,8,17,23
2017-03-06,28,39,11,None,54,69,38,T,30.46,30.54,30.35,44,54,33,10,10,10,6,13,15
2017-03-07,47,55,39,Rain,70,93,47,0.07,30.20,30.33,30.01,59,71,47,10,10,10,10,28,35
2017-03-08,29,53,14,Rain,48,80,15,0.01,30.07,30.16,29.95,59,68,50,10,10,10,13,33,44
2017-03-09,24,36,18,None,27,40,13,0.00,30.04,30.15,29.88,61,74,47,10,10,10,9,22,32
2017-03-10,26,37,10,"Rain,Snow",50,65,35,0.09,29.94,30.18,29.83,44,57,31,9,10,4,16,30,38
2017-03-11,8,13,3,None,36,50,22,0.00,30.28,30.36,30.19,33,40,26,10,10,10,15,25,36
2017-03-12,9,12,6,None,35,43,27,0.00,30.39,30.47,30.33,35,43,27,10,10,10,11,21,24
2017-03-13,23,32,9,"Fog,Rain,Snow",64,96,24,0.47,30.32,30.51,30.11,37,46,28,7,10,1,10,17,22
2017-03-14,27,31,10,"Fog,Rain,Snow",61,76,46,0.89,29.73,30.06,29.53,33,39,26,6,10,2,21,32,44
2017-03-15,8,12,5,None,42,52,32,0.00,29.92,30.12,29.84,28,33,22,10,10,10,18,35,47
2017-03-16,13,17,5,None,44,55,33,0.00,30.18,30.26,30.14,33,42,24,10,10,10,11,25,36
2017-03-17,22,36,15,Rain,47,70,24,0.01,30.31,30.40,30.22,41,52,29,10,10,10,6,24,32
2017-03-18,40,43,35,Rain,73,92,53,0.37,30.07,30.22,29.95,50,59,40,9,10,4,7,20,23
2017-03-19,35,41,31,"Rain,Snow",71,92,50,0.26,30.18,30.27,30.07,45,54,36,9,10,6,14,22,25
2017-03-20,31,36,26,None,57,76,38,0.00,30.15,30.24,30.03,46,54,37,10,10,10,7,15,18
2017-03-21,38,43,31,Rain,61,76,46,T,29.97,30.03,29.93,55,63,46,10,10,10,7,16,19
2017-03-22,18,39,4,None,34,51,16,0.00,30.22,30.49,29.93,48,59,37,10,10,10,17,31,39
2017-03-23,9,21,3,None,35,52,17,0.00,30.58,30.68,30.50,39,48,30,10,10,10,8,16,19
