date,dew_avg,dew_max,dew_min,events,hum_avg,hum_max,hum_min,prec,sea_avg,sea_max,sea_min,temp_avg,temp_max,temp_min,vis_avg,vis_max,vis_min,wind_avg,wind_max,wind_unk
2017-01-01,43,45,40,None,72,89,49,0,29.95,30.02,29.87,52,60,44,10,10,6,1,6,0
2017-01-02,46,47,43,None,73,86,59,0,30.07,30.17,30,54,57,51,10,10,10,1,5,0
2017-01-03,45,47,43,None,73,93,53,0,30.15,30.19,30.11,54,60,48,10,10,9,0,4,0
2017-01-04,50,55,42,Rain,82,97,58,0.03,30.1,30.16,30.06,54,63,46,6,10,2,1,7,0
2017-01-05,55,57,52,Rain,92,97,75,0.35,29.99,30.05,29.92,60,64,54,5,10,1,4,8,0
2017-01-06,49,53,40,None,77,97,47,0,30.05,30.13,29.97,58,64,51,10,10,7,1,5,0
2017-01-07,47,52,36,Rain,67,89,44,0.07,30.16,30.21,30.13,61,70,51,10,10,9,2,7,12
2017-01-08,45,50,39,None,56,83,29,0,30.15,30.2,30.1,66,79,53,10,10,10,1,9,13
2017-01-09,54,56,48,Rain,74,93,55,0.77,30.14,30.19,30.09,60,64,55,6,10,2,2,12,17
2017-01-10,53,56,49,Rain,84,96,72,0.07,30.11,30.17,30.05,56,61,51,8,10,2,1,7,12
2017-01-11,55,58,51,Rain,82,100,63,0.39,29.99,30.04,29.96,61,66,55,7,10,2,2,9,14
2017-01-12,53,55,51,Rain,90,100,80,1.13,29.94,29.98,29.92,56,58,53,6,10,1,3,8,11
2017-01-13,49,51,47,None,78,96,60,0,29.99,30.04,29.96,56,62,49,8,10,4,1,7,11
2017-01-14,47,51,45,None,67,93,40,0,29.99,30.05,29.95,60,72,47,9,10,7,1,6,10
2017-01-15,51,52,49,None,76,89,63,0,30.04,30.08,29.99,60,66,53,10,10,10,3,8,13
2017-01-16,50,52,49,None,76,96,56,0,30.06,30.1,30.01,59,66,52,10,10,7,1,10,15
2017-01-17,43,50,36,None,62,93,30,0,30.09,30.16,30.05,57,68,46,10,10,8,2,10,13
2017-01-18,46,51,41,Rain,76,89,62,0.04,30.14,30.2,30.01,55,62,47,9,10,6,2,9,17
2017-01-19,51,54,46,Rain,78,100,56,0.98,29.93,30.04,29.86,58,64,52,7,10,2,4,13,23
2017-01-20,51,56,41,Rain,86,100,71,1.51,29.61,29.87,29.43,55,59,51,6,10,1,5,16,27
2017-01-21,45,48,41,None,69,86,51,0,29.92,30.11,29.61,55,63,46,10,10,10,1,9,14
2017-01-22,50,54,47,"Fog,Rain",87,96,77,2.67,29.97,30.12,29.88,54,56,51,5,10,0,7,17,28
2017-01-23,45,51,41,Rain,77,93,61,0.33,29.88,29.92,29.82,51,58,44,8,10,2,2,14,22
2017-01-24,39,42,36,None,66,89,43,0,30.03,30.17,29.93,50,58,41,10,10,10,1,7,12
2017-01-25,39,44,34,None,60,83,36,0,30.26,30.32,30.2,51,61,41,10,10,10,1,10,14
2017-01-26,36,42,28,None,52,76,27,0,30.31,30.35,30.25,54,65,43,10,10,10,1,7,11
2017-01-27,32,38,26,None,48,70,25,0,30.42,30.48,30.35,54,64,44,10,10,10,0,7,11
2017-01-28,31,37,22,None,46,76,15,0,30.39,30.45,30.32,58,74,41,10,10,10,0,7,10
2017-01-29,29,38,22,None,30,47,12,0,30.23,30.31,30.16,64,80,47,10,10,10,0,6,8
2017-01-30,32,40,25,None,32,51,13,0,30.13,30.18,30.09,67,80,53,10,10,10,1,7,10
2017-01-31,39,45,32,None,44,66,21,0,30.09,30.13,30.04,64,77,50,10,10,10,1,8,11
2017-02-01,46,52,36,None,57,86,27,0,30.09,30.12,30.02,60,72,48,8,10,4,1,9,13
2017-02-02,49,52,42,None,61,83,39,0,30.11,30.15,30.07,61,68,53,8,10,5,1,7,11
2017-02-03,55,58,52,Rain,84,93,75,0.23,30.09,30.12,30.04,58,61,55,4,10,1,2,8,13
2017-02-04,55,57,52,None,84,100,67,0,30.1,30.15,30.04,61,66,55,5,10,2,2,10,17
2017-02-05,52,53,50,None,81,93,69,T,30.03,30.09,29.98,58,61,55,9,10,4,1,7,10
2017-02-06,55,58,52,Rain,90,100,80,0.88,30.05,30.11,30.01,58,61,54,6,10,2,4,13,19
2017-02-07,59,60,56,Rain,89,100,78,0.27,30.12,30.17,30.06,62,66,58,4,10,1,2,8,14
2017-02-08,59,61,58,"Fog,Rain",84,100,68,0.03,30.13,30.2,30.05,66,73,59,5,10,0,1,8,12
2017-02-09,58,60,56,Fog,82,100,64,0,30.02,30.09,29.96,67,75,58,7,10,0,1,10,14
2017-02-10,58,60,56,Rain,88,97,78,0.3,30.03,30.06,29.97,62,65,58,5,10,2,1,8,11
2017-02-11,56,59,50,Rain,82,97,67,0.21,30.05,30.1,30.03,60,65,55,7,10,1,0,6,10
2017-02-12,49,51,43,None,64,93,35,0,30.04,30.09,29.97,63,75,50,10,10,10,0,6,10
2017-02-13,45,53,36,None,52,78,25,0,30.01,30.05,29.98,65,77,53,10,10,10,1,6,13
2017-02-14,54,56,49,None,69,93,44,0,30.06,30.09,30.01,65,73,56,8,10,1,1,12,15
2017-02-15,51,56,34,None,60,100,19,0,30.07,30.12,30.02,67,80,53,8,10,2,1,9,15
2017-02-16,53,54,50,Fog,77,100,53,0,29.97,30.05,29.89,60,68,51,7,10,0,1,8,14
2017-02-17,54,56,50,Rain,86,100,72,2.01,29.61,29.85,29.44,57,61,53,6,10,1,7,17,30
2017-02-18,51,53,50,Rain,83,93,72,0.09,29.57,29.74,29.5,58,63,53,8,10,2,3,9,15
2017-02-19,51,53,49,Rain,79,93,64,0.03,29.93,30.17,29.75,59,63,54,10,10,2,2,8,12
2017-02-20,53,57,50,Rain,80,93,67,0.03,30.25,30.31,30.17,59,64,54,7,10,2,2,8,13
2017-02-21,55,59,52,Rain,76,93,58,0.03,30.27,30.34,30.21,63,68,58,9,10,4,1,8,12
2017-02-22,47,56,30,None,69,100,38,0,30.11,30.2,30.01,59,66,51,8,10,1,2,13,17
2017-02-23,25,34,14,None,33,46,20,0,30.06,30.1,30.01,56,62,49,10,10,10,5,17,27
2017-02-24,30,40,16,None,45,66,24,0,30.15,30.19,30.11,54,64,44,10,10,10,2,10,14
2017-02-25,40,46,34,None,54,76,31,0,30.07,30.17,30,55,66,44,10,10,10,1,10,16
2017-02-26,45,49,38,Rain,68,77,59,0.06,29.97,30.02,29.94,54,58,49,10,10,9,2,8,13
2017-02-27,44,48,37,None,69,83,55,0,29.87,29.96,29.82,57,61,52,10,10,10,2,7,11
2017-02-28,38,44,32,None,51,71,31,0,30.07,30.22,29.88,57,66,47,10,10,10,2,9,15
2017-03-01,33,38,26,None,42,66,17,0,30.22,30.28,30.17,61,75,47,10,10,10,1,8,12
2017-03-02,28,35,19,None,34,56,11,0,30.13,30.21,30.06,64,79,48,10,10,10,1,10,14
2017-03-03,28,40,19,None,28,46,10,0,29.99,30.06,29.93,69,82,55,10,10,10,3,9,12
2017-03-04,45,53,37,None,52,75,29,0,30,30.04,29.97,62,71,53,10,10,10,2,8,12
2017-03-05,48,53,37,Rain,67,80,54,T,29.99,30.11,29.94,56,63,49,10,10,2,3,14,24
2017-03-06,30,39,23,None,47,66,27,0,30.16,30.2,30.11,57,67,46,10,10,10,2,9,14
2017-03-07,35,47,28,None,43,67,18,0,30.15,30.2,30.1,63,77,49,10,10,10,2,9,12
2017-03-08,41,49,31,None,43,72,14,0,30.05,30.12,29.99,70,85,54,10,10,10,1,9,13
2017-03-09,45,49,38,None,43,67,18,0,30.04,30.07,30,72,87,57,10,10,10,1,7,11
2017-03-10,47,54,41,None,51,72,30,0,30.02,30.07,29.97,69,81,56,9,10,2,1,9,13
2017-03-11,51,55,45,None,57,86,28,0,29.98,30.03,29.94,69,83,55,9,10,6,1,9,14
2017-03-12,54,57,51,Fog,67,100,34,0,29.99,30.03,29.94,69,84,53,4,10,0,1,8,11
2017-03-13,55,57,48,Fog,82,97,28,0,30.01,30.04,29.96,70,88,55,3,10,0,0,5,0
2017-03-14,53,57,45,Fog,64,100,28,0,30.03,30.07,30.01,69,86,52,5,10,0,1,8,12
2017-03-15,54,57,48,None,64,93,34,0,30.06,30.09,30.02,71,85,57,8,10,4,1,10,15
2017-03-16,55,58,53,None,65,87,42,0,30.06,30.11,30.01,69,79,58,9,10,6,2,10,14
2017-03-17,55,57,52,None,74,100,48,0,30.02,30.05,29.96,66,78,53,5,8,1,1,7,11
2017-03-18,55,56,54,None,73,93,53,0,30.06,30.11,30,66,75,57,5,8,2,1,8,14
2017-03-19,54,55,53,None,70,93,46,0,30.06,30.11,30.03,67,77,56,6,10,2,2,8,14
2017-03-20,51,53,49,None,65,80,49,0,30.08,30.12,30.05,65,71,59,10,10,7,2,12,17
2017-03-21,56,58,50,Rain,78,93,63,0.06,30.07,30.11,30.05,62,67,57,6,10,2,3,8,12
