date,dew_avg,dew_max,dew_min,events,hum_avg,hum_max,hum_min,prec,sea_avg,sea_max,sea_min,temp_avg,temp_max,temp_min,vis_avg,vis_max,vis_min,wind_avg,wind_max,wind_unk
2017-01-01,22,28,16,None,41,50,31,0.00,30.17,30.44,29.89,44,46,41,10,10,10,5,12,23
2017-01-02,34,38,23,Rain,83,96,51,0.20,30.41,30.50,30.26,38,39,37,7,10,2,9,15,23
2017-01-03,40,43,38,Rain,98,100,96,0.59,29.80,30.27,29.49,41,43,39,4,10,2,12,17,30
2017-01-04,34,42,10,None,74,100,30,0.00,29.52,29.73,29.44,44,52,34,9,10,5,6,17,31
2017-01-05,10,15,7,None,42,52,38,0.00,29.92,30.00,29.75,30,33,27,10,10,10,8,13,24
2017-01-06,18,25,7,"Fog,Snow",66,92,39,0.05,30.04,30.27,29.92,29,33,25,6,10,0,5,10,16
2017-01-07,14,18,4,"Fog,Snow",67,91,42,0.32,30.20,30.32,30.11,23,26,20,3,10,0,8,17,25
2017-01-08,4,8,0,None,52,68,35,0.00,30.34,30.60,30.16,21,25,16,10,10,8,9,18,30
2017-01-09,4,9,0,None,52,59,45,0.00,30.68,30.76,30.61,19,23,14,10,10,10,5,13,22
2017-01-10,22,39,9,None,63,82,43,0.00,30.49,30.64,30.19,34,46,21,10,10,10,5,14,24
2017-01-11,40,45,36,Rain,74,93,54,0.52,30.24,30.33,30.16,47,52,42,7,10,2,6,16,33
2017-01-12,50,52,46,Rain,78,93,63,0.05,30.07,30.16,29.97,57,66,47,10,10,5,8,16,24
2017-01-13,29,53,13,None,55,80,30,0.00,30.41,30.69,30.09,47,62,32,10,10,10,7,17,28
2017-01-14,23,29,12,"Fog,Snow",69,92,45,0.12,30.51,30.70,30.31,31,34,28,5,10,0,4,9,12
2017-01-15,22,28,19,None,67,85,48,0.00,30.34,30.41,30.27,34,38,30,10,10,8,4,10,15
2017-01-16,21,25,16,None,53,63,43,0.00,30.39,30.47,30.28,37,43,30,10,10,10,5,13,19
2017-01-17,35,38,25,Rain,77,100,54,0.35,30.13,30.27,29.96,40,42,38,4,10,2,5,15,20
2017-01-18,37,39,36,Rain,90,100,79,0.06,29.96,30.06,29.87,40,41,38,8,10,2,6,14,19
2017-01-19,34,36,32,None,71,85,56,0.00,30.02,30.07,29.99,44,49,39,10,10,10,4,12,19
2017-01-20,36,40,30,Rain,79,93,65,0.10,29.96,30.03,29.92,43,45,40,8,10,3,4,10,14
2017-01-21,42,45,40,None,90,100,80,0.00,29.85,29.94,29.78,45,49,41,4,7,1,4,12,18
2017-01-22,43,45,40,"Fog,Rain",91,100,82,0.05,29.75,29.83,29.68,46,48,43,4,10,0,7,21,33
2017-01-23,35,40,30,Rain,85,100,70,1.16,29.72,29.85,29.46,40,44,36,8,10,2,18,33,47
2017-01-24,35,36,30,Rain,93,100,85,1.18,29.38,29.47,29.31,37,38,35,5,10,1,10,24,36
2017-01-25,30,34,27,None,63,76,50,0.00,29.60,29.67,29.49,44,51,36,10,10,10,7,18,26
2017-01-26,33,43,25,Rain,61,80,42,0.02,29.45,29.57,29.33,50,56,43,10,10,6,7,21,38
2017-01-27,24,27,19,None,47,55,39,0.00,29.62,29.66,29.57,40,43,36,10,10,10,9,18,33
2017-01-28,20,23,19,None,52,59,44,0.00,29.68,29.75,29.63,37,39,34,10,10,10,8,16,27
2017-01-29,18,24,11,None,43,59,27,0.00,29.71,29.73,29.66,39,43,35,10,10,10,6,15,24
2017-01-30,12,19,7,None,46,59,32,0.00,29.81,29.97,29.73,34,37,30,10,10,10,6,15,22
2017-01-31,22,29,7,"Fog,Snow",64,92,36,0.06,29.87,30.01,29.75,30,34,26,5,10,0,4,12,15
2017-02-01,26,29,23,None,60,82,38,0.00,29.93,30.04,29.84,40,47,33,10,10,7,6,16,26
2017-02-02,20,27,14,None,46,64,28,0.00,30.08,30.19,30.01,39,45,32,10,10,10,5,16,28
2017-02-03,9,11,4,None,39,46,31,0.00,30.18,30.25,30.09,30,33,26,10,10,10,7,17,29
2017-02-04,5,8,2,None,38,47,28,0.00,30.31,30.40,30.23,28,34,22,10,10,10,8,16,26
2017-02-05,17,22,8,None,44,52,36,0.00,29.99,30.24,29.83,37,43,31,10,10,10,7,16,28
2017-02-06,24,34,16,None,51,70,31,0.00,30.05,30.15,29.93,43,49,36,10,10,8,5,13,20
2017-02-07,36,38,33,"Fog,Rain",85,100,70,0.27,29.87,29.99,29.60,39,42,36,3,9,0,7,15,20
2017-02-08,38,47,29,Rain,73,100,46,0.03,29.61,29.73,29.53,50,62,38,6,10,1,5,13,17
2017-02-09,21,30,0,"Fog,Snow",71,100,41,1.16,29.65,30.08,29.53,32,44,19,4,10,0,12,23,36
2017-02-10,10,19,4,Snow,46,56,36,T,30.17,30.23,30.09,26,32,19,9,10,2,9,16,31
2017-02-11,24,28,18,None,54,69,38,0.00,29.98,30.10,29.88,39,48,30,10,10,9,4,13,20
2017-02-12,30,34,25,"Rain,Snow",82,100,64,0.46,29.87,30.12,29.59,35,40,30,5,10,2,7,17,23
2017-02-13,23,34,16,Rain,70,92,47,0.02,29.77,29.98,29.58,35,39,31,10,10,6,12,28,48
2017-02-14,21,29,17,None,56,64,48,0.00,29.87,29.99,29.73,35,41,28,10,10,10,5,13,20
2017-02-15,30,33,24,None,68,82,53,T,29.46,29.69,29.30,41,47,35,10,10,7,7,18,29
2017-02-16,16,24,13,None,54,64,43,0.00,29.61,29.79,29.46,32,35,28,10,10,10,11,17,29
2017-02-17,15,15,13,None,41,63,19,0.00,29.85,29.91,29.80,34,41,26,10,10,10,9,16,28
2017-02-18,25,33,14,None,39,48,30,0.00,29.76,29.89,29.66,49,63,35,10,10,10,6,16,28
2017-02-19,32,36,28,None,35,43,26,0.00,29.81,29.98,29.67,59,65,53,10,10,10,6,14,22
2017-02-20,22,33,10,None,38,58,18,0.00,30.19,30.36,30.00,47,55,39,10,10,10,7,18,25
2017-02-21,23,32,8,None,47,67,27,0.00,30.29,30.39,30.12,41,47,34,10,10,10,6,14,22
2017-02-22,37,42,33,None,59,71,47,0.00,29.98,30.09,29.88,50,57,42,10,10,8,3,12,17
2017-02-23,47,52,40,None,75,86,63,0.00,29.87,29.93,29.80,55,65,44,8,10,3,4,13,20
2017-02-24,53,56,50,None,69,84,53,0.00,29.89,29.95,29.85,64,70,58,10,10,10,6,14,21
2017-02-25,51,57,34,"Fog,Rain",88,100,76,0.54,29.66,29.87,29.48,54,63,44,7,10,0,7,20,28
2017-02-26,18,32,13,None,49,67,30,0.00,30.00,30.27,29.70,40,44,36,10,10,10,9,18,29
2017-02-27,22,30,16,None,39,52,26,0.00,30.37,30.43,30.29,45,54,35,10,10,10,6,16,26
2017-02-28,43,51,30,None,73,96,50,0.00,30.24,30.39,29.99,53,59,47,10,10,7,4,10,19
2017-03-01,54,59,49,Rain,73,93,53,0.12,29.67,29.98,29.41,62,70,54,8,10,2,6,16,30
2017-03-02,20,50,8,None,44,60,27,0.00,29.76,30.09,29.41,50,64,35,10,10,10,11,26,47
2017-03-03,8,14,1,None,35,49,21,0.00,30.24,30.45,30.11,32,39,24,10,10,10,8,18,35
2017-03-04,-1,5,-9,None,37,49,25,0.00,30.51,30.60,30.45,24,30,17,10,10,10,9,20,34
2017-03-05,-7,-1,-14,None,26,40,12,0.00,30.58,30.67,30.50,26,37,14,10,10,10,5,14,23
2017-03-06,11,25,-2,None,35,50,20,0.00,30.48,30.54,30.41,36,45,26,10,10,10,3,10,16
2017-03-07,42,47,27,Rain,71,93,49,0.10,30.23,30.41,30.01,49,56,42,8,10,4,4,13,20
2017-03-08,32,52,15,Rain,53,83,22,0.02,29.94,30.02,29.88,53,59,47,10,10,9,8,17,31
2017-03-09,17,25,12,None,28,39,16,0.00,29.95,29.99,29.90,54,61,47,10,10,10,9,23,39
2017-03-10,24,32,7,"Fog,Snow",63,92,34,0.31,29.87,30.02,29.78,35,47,23,5,10,0,8,20,33
2017-03-11,3,9,-3,None,44,54,33,0.00,30.16,30.26,30.06,23,29,17,10,10,10,10,18,32
2017-03-12,2,4,0,None,40,49,31,0.00,30.31,30.43,30.26,24,29,19,10,10,10,9,17,25
2017-03-13,7,22,0,None,44,69,24,0.00,30.42,30.52,30.26,27,36,19,10,10,10,5,12,18
2017-03-14,25,30,8,"Fog,Snow",79,100,57,1.97,29.59,30.22,29.13,27,32,21,3,10,0,14,28,38
2017-03-15,9,14,7,None,52,62,42,0.00,29.63,29.86,29.50,23,26,20,10,10,8,12,21,35
2017-03-16,10,11,8,None,41,55,27,0.00,29.96,30.12,29.87,32,39,24,10,10,10,8,20,34
2017-03-17,14,17,7,None,36,53,19,0.00,30.20,30.28,30.13,38,47,29,10,10,10,7,15,22
2017-03-18,27,33,16,Snow,70,100,40,0.08,30.18,30.23,30.14,37,39,34,7,10,2,9,20,27
2017-03-19,21,27,11,None,47,70,23,0.00,30.16,30.20,30.11,41,47,34,10,10,10,8,18,29
2017-03-20,15,22,8,None,33,47,18,0.00,30.08,30.16,29.98,43,52,33,10,10,10,5,14,22
2017-03-21,25,31,21,None,40,49,30,0.00,29.89,29.98,29.81,51,59,42,10,10,10,4,13,18
2017-03-22,6,23,-5,None,32,45,19,0.00,30.13,30.45,29.86,37,50,24,10,10,10,12,24,42
2017-03-23,2,20,-3,None,33,50,15,0.00,30.53,30.61,30.46,33,42,23,10,10,10,5,13,17
2017-03-24,25,34,12,None,43,52,33,T,30.32,30.52,30.11,47,57,36,10,10,10,6,15,23
2017-03-25,38,41,33,None,66,89,42,0.01,30.22,30.41,30.06,52,62,42,10,10,8,7,16,24
2017-03-26,34,38,30,Rain,81,92,70,0.14,30.42,30.49,30.32,40,42,37,8,10,2,8,18,24
2017-03-27,41,46,37,"Fog,Rain",89,100,77,0.26,30.11,30.31,29.99,45,53,37,4,8,0,4,12,17
2017-03-28,42,44,39,Rain,95,100,89,0.72,29.95,30.00,29.87,44,46,41,4,10,1,6,14,21
2017-03-29,34,43,22,None,61,92,30,0.00,30.06,30.23,29.92,51,60,42,10,10,4,8,18,27
2017-03-30,24,31,21,None,44,58,30,0.01,30.20,30.27,30.13,45,52,38,10,10,10,6,15,20
2017-03-31,38,39,31,Rain,93,100,85,1.51,29.95,30.16,29.70,40,43,37,3,9,2,10,26,41
