Start Date,Total Duration,Trips,Total Distance,Avg Duration,Avg Distance,events,hum_avg,prec,temp_avg,wind_avg,Daylight,Date,Day,DayOfYear,Week,Month,Year
2017-07-01,63497.0,1883,1904.736572395651,33.721189591078065,1.0115435859775097,"Rain,Thunderstorm",76,0.63,81,11,897.4166666666666,1498867200000000000,6,182,26,7,2017
2017-07-02,86871.0,2565,2662.4394795999533,33.86783625730994,1.0379881012085588,None,67,0.0,82,8,896.7833333333333,1498953600000000000,0,183,26,7,2017
2017-07-03,68475.0,2824,2945.773922151727,24.247521246458923,1.0431210772491952,Thunderstorm,61,0.0,82,7,896.1,1499040000000000000,1,184,27,7,2017
2017-07-04,93990.0,3019,3082.488316758624,31.13282543888705,1.0210295848819557,"Rain,Thunderstorm",67,0.33,81,5,895.35,1499126400000000000,2,185,27,7,2017
2017-07-05,63971.0,3279,3529.2135182366483,19.50930161634645,1.0763078738141654,None,63,0.0,77,7,894.5333333333333,1499212800000000000,3,186,27,7,2017
2017-07-06,30271.0,1841,1967.5037390244663,16.442694187941335,1.0687146871398514,Rain,86,0.26,73,8,893.6833333333333,1499299200000000000,4,187,27,7,2017
2017-07-07,51762.0,2643,2814.9647458687505,19.58456299659478,1.065064224694949,Rain,72,0.51,79,8,892.7666666666667,1499385600000000000,5,188,27,7,2017
2017-07-08,86389.0,2861,2978.434300677971,30.195386228591403,1.041046592337634,Rain,69,0.01,79,10,891.8,1499472000000000000,6,189,27,7,2017
2017-07-09,84378.0,2885,2976.05459097919,29.247140381282495,1.0315613833550052,None,51,0.0,76,8,890.7833333333333,1499558400000000000,0,190,27,7,2017
2017-07-10,67126.0,3369,3608.6989379148304,19.924606708222026,1.0711483935633215,None,60,0.0,78,7,889.7,1499644800000000000,1,191,28,7,2017
2017-07-11,78489.0,3538,3755.2836915763705,22.18456755228943,1.061414271220003,None,66,0.0,84,10,888.5833333333334,1499731200000000000,2,192,28,7,2017
2017-07-12,61406.0,3314,3529.6243524373726,18.529269764634883,1.0650646808803177,None,66,0.0,83,12,887.4166666666666,1499817600000000000,3,193,28,7,2017
2017-07-13,47190.0,2752,2871.1572684976577,17.14752906976744,1.0432984260529279,None,67,0.0,87,9,886.1833333333333,1499904000000000000,4,194,28,7,2017
2017-07-14,38290.0,2087,2159.5268610307035,18.34690943938668,1.0347517302494986,"Rain,Thunderstorm",87,0.41,76,5,884.9166666666666,1499990400000000000,5,195,28,7,2017
2017-07-15,83478.0,2889,2986.065128871114,28.895119418483905,1.0335981754486376,Rain,67,0.01,80,6,883.6,1500076800000000000,6,196,28,7,2017
2017-07-16,73496.0,2663,2670.2171601148607,27.598948554262112,1.0027101615151561,None,59,0.0,78,6,882.2333333333333,1500163200000000000,0,197,28,7,2017
2017-07-17,52829.0,2983,3154.2670869263093,17.710023466309085,1.0574143771124067,"Rain,Thunderstorm",68,0.01,80,5,880.8333333333334,1500249600000000000,1,198,29,7,2017
2017-07-18,63622.0,3314,3448.0012338039633,19.19794809897405,1.0404348925177922,None,72,0.0,82,5,879.3833333333333,1500336000000000000,2,199,29,7,2017
2017-07-19,58760.0,3287,3442.727585633051,17.876483115302708,1.0473768133961214,None,68,0.0,86,7,877.8833333333333,1500422400000000000,3,200,29,7,2017
2017-07-20,52491.0,2938,3057.508839973946,17.86623553437713,1.040676936682759,None,65,0.0,87,9,876.35,1500508800000000000,4,201,29,7,2017
2017-07-21,51760.0,2914,2953.147767459749,17.762525737817434,1.0134343745572234,None,60,0.0,86,7,874.7666666666667,1500595200000000000,5,202,29,7,2017
2017-07-22,57075.0,2130,2157.3102793101107,26.795774647887324,1.0128217273756388,Thunderstorm,62,0.0,86,7,873.15,1500681600000000000,6,203,29,7,2017
2017-07-23,58266.0,2196,2174.8713683188967,26.5327868852459,0.9903785830231769,"Rain,Thunderstorm",75,0.31,81,9,871.4833333333333,1500768000000000000,0,204,29,7,2017
2017-07-24,50916.0,2744,2906.926911171075,18.55539358600583,1.0593756964909167,"Rain,Thunderstorm",72,2.46,79,8,869.8,1500854400000000000,1,205,30,7,2017
2017-07-25,57773.0,3175,3393.259304491341,18.196220472440945,1.0687430880287687,Rain,77,0.01,73,6,868.05,1500940800000000000,2,206,30,7,2017
2017-07-26,72097.0,3620,3838.8239757716046,19.916298342541438,1.0604486120916035,None,69,0.0,75,7,866.2833333333333,1501027200000000000,3,207,30,7,2017
2017-07-27,59862.0,3187,3442.842261627041,18.78318167555695,1.0802768313859556,None,78,0.01,75,6,864.4833333333333,1501113600000000000,4,208,30,7,2017
2017-07-28,58990.0,3080,3243.4718145740685,19.1525974025974,1.0530752644721002,Rain,71,0.01,79,6,862.65,1501200000000000000,5,209,30,7,2017
2017-07-29,74191.0,2506,2557.726035440772,29.60534716679968,1.020640876073732,Rain,68,0.39,72,15,860.7666666666667,1501286400000000000,6,210,30,7,2017
2017-07-30,84600.0,2992,2996.551275967626,28.27540106951872,1.0015211483849018,None,47,0.0,73,8,858.8666666666667,1501372800000000000,0,211,30,7,2017
2017-07-31,65718.0,3375,3510.7242063671647,19.472,1.0402145796643452,None,57,0.0,77,6,856.9333333333333,1501459200000000000,1,212,31,7,2017
2017-08-01,66666.0,3498,3656.2685723837494,19.058319039451113,1.0452454466505858,Thunderstorm,54,0.0,81,6,854.9666666666667,1501545600000000000,2,213,31,8,2017
2017-08-02,47296.0,2597,2683.646082429377,18.211782826338084,1.0333639131418473,"Rain,Thunderstorm",74,1.37,79,5,852.9666666666667,1501632000000000000,3,214,31,8,2017
2017-08-03,60682.0,3397,3604.3757534015012,17.86340889019723,1.061046733412276,Rain,73,0.01,77,4,850.95,1501718400000000000,4,215,31,8,2017
2017-08-04,71710.0,3423,3529.22870037712,20.949459538416594,1.03103380086974,Thunderstorm,67,0.0,80,8,848.9,1501804800000000000,5,216,31,8,2017
2017-08-05,84079.0,2754,2821.9708190823258,30.529774872912128,1.0246807621940182,"Rain,Thunderstorm",62,0.84,74,10,846.8166666666667,1501891200000000000,6,217,31,8,2017
2017-08-06,77491.0,2780,2819.0200181740884,27.874460431654676,1.0140359777604635,None,56,0.0,71,6,844.7166666666667,1501977600000000000,0,218,31,8,2017
2017-08-07,19889.0,1284,1276.3823685062785,15.4898753894081,0.9940672651918057,Rain,81,0.43,69,8,842.5833333333334,1502064000000000000,1,219,32,8,2017
2017-08-08,68968.0,3518,3711.6037131544467,19.60432063672541,1.055032323238899,None,69,0.0,73,8,840.4333333333333,1502150400000000000,2,220,32,8,2017
2017-08-09,75479.0,3582,3810.4149108575702,21.07174762702401,1.0637674234666583,None,57,0.0,75,5,838.25,1502236800000000000,3,221,32,8,2017
2017-08-10,63856.0,3447,3610.9760314714786,18.52509428488541,1.0475706502673277,None,62,0.01,77,4,836.05,1502323200000000000,4,222,32,8,2017
2017-08-11,70010.0,3321,3486.250601246763,21.08099969888588,1.0497592897460895,Rain,64,0.04,76,7,833.8333333333334,1502409600000000000,5,223,32,8,2017
2017-08-12,61164.0,2258,2259.1931792828223,27.08768821966342,1.0005284230659088,Rain,80,0.06,77,5,831.5833333333334,1502496000000000000,6,224,32,8,2017
2017-08-13,77663.0,2735,2728.210362814897,28.395978062157223,0.9975175001151361,None,71,0.0,77,7,829.3333333333334,1502582400000000000,0,225,32,8,2017
2017-08-14,63264.0,3011,3176.3876006272017,21.010959814015276,1.054927798282033,Rain,63,0.01,75,3,827.05,1502668800000000000,1,226,33,8,2017
2017-08-15,35144.0,2043,2136.228861773151,17.202153695545768,1.0456333146221983,Rain,87,0.14,75,3,824.75,1502755200000000000,2,227,33,8,2017
2017-08-16,65118.0,3397,3608.8468105362626,19.169267000294376,1.0623629115502686,None,68,0.0,79,5,822.4333333333333,1502841600000000000,3,228,33,8,2017
2017-08-17,67858.0,3391,3604.478943915907,20.01120613388381,1.0629545691288431,None,68,0.0,80,6,820.1,1502928000000000000,4,229,33,8,2017
2017-08-18,46266.0,2497,2595.862673136751,18.52863436123348,1.0395925803511217,"Rain,Thunderstorm",81,0.16,83,8,817.75,1503014400000000000,5,230,33,8,2017
2017-08-19,78089.0,2819,2837.266593899831,27.700957786449095,1.006479813373477,None,69,0.0,81,9,815.3833333333333,1503100800000000000,6,231,33,8,2017
2017-08-20,72262.0,2659,2655.9123257145466,27.176382098533285,0.998838783645937,None,56,0.0,77,7,813.0166666666667,1503187200000000000,0,232,33,8,2017
2017-08-21,60465.0,3141,3224.631324508887,19.25023877745941,1.0266257002575252,None,71,0.0,77,5,810.6166666666667,1503273600000000000,1,233,34,8,2017
2017-08-22,52782.0,3066,3129.668727547852,17.21526418786693,1.0207660559516805,"Fog,Rain,Thunderstorm",72,2.06,83,13,808.2166666666667,1503360000000000000,2,234,34,8,2017
2017-08-23,63700.0,3336,3538.628568995717,19.0947242206235,1.0607399787157425,"Fog,Rain,Thunderstorm",66,0.1,76,9,805.7833333333333,1503446400000000000,3,235,34,8,2017
2017-08-24,68346.0,3521,3828.234464102651,19.41096279466061,1.0872577290834,None,49,0.0,74,8,803.35,1503532800000000000,4,236,34,8,2017
2017-08-25,71680.0,3379,3590.876837016083,21.213376738680083,1.062704006219616,None,53,0.01,72,7,800.9166666666666,1503619200000000000,5,237,34,8,2017
2017-08-26,76716.0,2996,2974.7529777302593,25.60614152202937,0.9929082035147728,None,52,0.0,73,6,798.45,1503705600000000000,6,238,34,8,2017
2017-08-27,75768.0,2774,2847.305435388433,27.313626532083635,1.0264258959583392,None,53,0.0,71,6,795.9833333333333,1503792000000000000,0,239,34,8,2017
2017-08-28,60461.0,3342,3605.279598863422,18.091262716935965,1.078779054118319,None,61,0.0,69,10,793.5166666666667,1503878400000000000,1,240,35,8,2017
2017-08-29,22048.0,1240,1321.5034430373846,17.780645161290323,1.065728583094665,Rain,81,0.46,66,10,791.0333333333333,1503964800000000000,2,241,35,8,2017
2017-08-30,63343.0,3599,3878.125541635939,17.600166712975827,1.0775564161255735,None,64,0.0,69,9,788.5333333333333,1504051200000000000,3,242,35,8,2017
2017-08-31,64039.0,3544,3777.1270847552387,18.06969525959368,1.06578078012281,None,65,0.01,75,9,786.0333333333333,1504137600000000000,4,243,35,8,2017
2017-09-01,64429.0,3317,3420.833901886678,19.423876997286705,1.0313035580002043,None,51,0.0,63,9,783.5166666666667,1504224000000000000,5,244,35,9,2017
2017-09-02,34631.0,1257,1216.3852947023645,27.55051710421639,0.967689176374196,Rain,80,0.48,62,9,780.9833333333333,1504310400000000000,6,245,35,9,2017
2017-09-03,79316.0,2290,2405.714039158081,34.635807860262005,1.0505301481039655,Rain,79,0.01,68,9,778.4666666666667,1504396800000000000,0,246,35,9,2017
2017-09-04,87129.0,2664,2691.004026537491,32.70608108108108,1.0101366465981572,None,61,0.0,72,10,775.9166666666666,1504483200000000000,1,247,36,9,2017
2017-09-05,52866.0,2991,3248.3935001815294,17.675025075225676,1.0860560013980372,Rain,68,0.11,79,10,773.3833333333333,1504569600000000000,2,248,36,9,2017
2017-09-06,34778.0,1862,1863.5795295063,18.677765843179376,1.0008482972643933,"Rain,Thunderstorm",86,0.54,66,7,770.8333333333334,1504656000000000000,3,249,36,9,2017
2017-09-07,65660.0,3556,3894.3725645319832,18.46456692913386,1.0951553893509514,Rain,66,0.03,66,11,768.2666666666667,1504742400000000000,4,250,36,9,2017
2017-09-08,65231.0,3343,3591.309436348843,19.51271313191744,1.0742774263681851,None,62,0.0,66,9,765.7166666666667,1504828800000000000,5,251,36,9,2017
2017-09-09,87904.0,2846,2978.2072829929625,30.886858749121576,1.0464537185498815,None,58,0.0,63,10,763.15,1504915200000000000,6,252,36,9,2017
2017-09-10,67571.0,2651,2730.0859304530836,25.488872123726896,1.0298324897974664,None,58,0.0,65,9,760.5666666666667,1505001600000000000,0,253,36,9,2017
