date,dew_avg,dew_max,dew_min,events,hum_avg,hum_max,hum_min,prec,sea_avg,sea_max,sea_min,temp_avg,temp_max,temp_min,vis_avg,vis_max,vis_min,wind_avg,wind_max,wind_unk
2017-01-01,26,29,24,None,48,75,30,0.00,30.19,30.42,29.94,42,51,34,10,10,10,12,18,25
2017-01-02,37,41,25,Rain,88,96,66,0.16,30.35,30.45,30.19,38,43,32,6,10,2,8,15,25
2017-01-03,42,46,39,Rain,93,97,89,0.20,29.79,30.18,29.53,44,48,41,4,10,2,11,15,28
2017-01-04,36,46,10,Rain,74,96,14,0.01,29.58,29.83,29.48,45,54,35,6,10,2,12,24,34
2017-01-05,17,27,8,Snow,58,92,23,0.03,29.98,30.05,29.85,31,34,28,8,10,1,11,21,28
2017-01-06,21,28,9,Snow,70,93,31,0.04,30.05,30.31,29.92,29,32,26,7,10,0,5,13,17
2017-01-07,13,18,4,"Fog,Snow",68,89,33,0.08,30.24,30.33,30.18,22,24,19,5,10,0,13,17,25
2017-01-08,3,7,-1,None,46,57,29,0.00,30.44,30.69,30.25,20,24,15,10,10,10,15,24,31
2017-01-09,6,9,4,None,56,73,36,0.00,30.72,30.81,30.67,18,23,12,10,10,10,7,10,0
2017-01-10,18,32,9,None,62,80,44,0.00,30.48,30.66,30.20,28,42,14,10,10,10,8,22,29
2017-01-11,40,46,33,Rain,78,93,63,0.37,30.26,30.37,30.19,47,54,40,8,10,5,8,26,35
2017-01-12,50,52,46,Rain,74,89,58,0.05,30.11,30.19,30.02,58,67,49,10,10,6,15,24,32
2017-01-13,30,50,14,None,63,89,36,T,30.45,30.71,30.14,48,61,35,10,10,10,13,24,30
2017-01-14,21,31,11,"Rain,Snow",64,89,39,0.01,30.54,30.71,30.33,33,36,30,10,10,6,4,13,16
2017-01-15,25,30,19,None,67,89,44,0.00,30.37,30.45,30.30,36,41,31,9,10,7,8,13,19
2017-01-16,22,28,19,None,59,75,43,0.00,30.42,30.50,30.33,34,42,26,10,10,10,5,10,16
2017-01-17,38,42,28,Rain,82,100,64,0.15,30.10,30.30,29.92,42,45,38,6,10,0,3,10,18
2017-01-18,40,43,38,Rain,86,96,76,0.22,29.95,30.05,29.89,45,49,41,7,10,1,7,14,20
2017-01-19,35,38,32,None,73,85,60,0.00,30.05,30.09,30.02,43,49,37,10,10,10,6,15,20
2017-01-20,37,40,31,Rain,88,96,79,0.16,29.96,30.05,29.91,38,43,32,6,10,3,1,8,9
2017-01-21,43,45,40,Fog,95,100,89,T,29.88,29.94,29.80,45,47,42,2,5,0,3,10,12
2017-01-22,45,48,43,"Fog,Rain",93,100,86,0.17,29.71,29.78,29.65,48,50,45,3,9,0,8,21,30
2017-01-23,37,43,34,Rain,86,92,79,0.60,29.62,29.74,29.40,42,46,38,7,10,3,22,37,50
2017-01-24,34,37,30,"Rain,Snow",74,85,62,0.17,29.42,29.58,29.38,42,46,37,7,10,2,17,25,34
2017-01-25,33,35,30,None,57,67,46,0.00,29.67,29.75,29.57,48,54,41,10,10,10,10,23,29
2017-01-26,35,43,24,Rain,64,89,39,0.04,29.51,29.70,29.41,49,55,42,9,10,6,13,36,47
2017-01-27,22,28,20,None,48,57,39,0.00,29.73,29.78,29.68,40,44,35,10,10,10,18,28,34
2017-01-28,22,26,19,Snow,0,0,0,T,29.76,29.78,29.72,36,41,31,10,10,10,12,20,31
2017-01-29,21,26,16,None,54,75,33,0.00,29.75,29.79,29.72,38,44,31,10,10,10,8,20,24
2017-01-30,21,28,13,"Fog,Snow",54,72,35,0.02,29.85,30.01,29.75,33,39,27,8,10,0,9,30,35
2017-01-31,21,28,14,None,62,70,53,0.00,29.88,30.06,29.72,35,43,26,10,10,10,6,17,21
2017-02-01,27,29,24,None,51,60,42,0.00,29.98,30.08,29.89,45,50,40,10,10,10,13,23,31
2017-02-02,20,27,3,None,45,64,26,0.00,30.13,30.25,30.06,41,48,34,10,10,10,11,29,37
2017-02-03,7,10,4,None,37,46,28,0.00,30.23,30.30,30.15,32,35,28,10,10,10,12,24,33
2017-02-04,7,13,2,None,37,47,26,0.00,30.38,30.48,30.30,29,36,22,10,10,10,12,22,29
2017-02-05,19,25,13,None,54,69,39,0.00,30.04,30.27,29.88,37,44,29,10,10,10,10,20,25
2017-02-06,27,33,23,None,54,76,32,0.00,30.08,30.17,30.01,45,54,36,10,10,10,9,18,23
