date,dew_avg,dew_max,dew_min,events,hum_avg,hum_max,hum_min,prec,sea_avg,sea_max,sea_min,temp_avg,temp_max,temp_min,vis_avg,vis_max,vis_min,wind_avg,wind_max,wind_unk
2017-01-01,39,43,35,Rain,65,80,45,0.04,29.95,29.99,29.92,50,54,46,10,10,7,15,23,33
2017-01-02,41,45,39,Rain,76,89,56,0.20,30.03,30.10,29.99,48,52,44,10,10,3,7,15,0
2017-01-03,48,54,44,Rain,85,93,77,0.24,29.97,30.11,29.85,52,59,46,8,10,3,12,38,50
2017-01-04,49,55,43,Rain,87,93,73,0.20,29.95,29.99,29.86,52,59,46,7,10,2,13,28,38
2017-01-05,34,43,27,None,66,86,45,0.00,30.05,30.12,29.99,46,51,41,10,10,10,8,18,22
2017-01-06,31,39,26,Rain,58,70,45,T,30.09,30.16,30.02,44,49,38,10,10,10,8,16,18
2017-01-07,50,55,39,Rain,86,93,78,0.84,29.95,30.02,29.88,53,62,44,6,10,2,13,35,45
2017-01-08,56,58,53,"Rain,Thunderstorm",86,93,78,1.28,29.88,29.99,29.82,59,64,54,6,10,2,25,47,61
2017-01-09,49,53,46,Rain,75,83,67,0.27,30.03,30.11,29.94,56,59,53,9,10,3,12,24,31
2017-01-10,53,56,49,Rain,83,87,78,1.82,29.85,30.02,29.68,58,60,56,5,10,2,22,39,51
2017-01-11,44,47,42,Rain,75,83,66,0.04,29.89,29.96,29.77,54,58,50,10,10,8,11,37,47
2017-01-12,42,44,40,Rain,80,93,66,0.30,29.94,30.06,29.85,49,52,45,9,10,2,6,16,21
2017-01-13,41,45,35,None,66,89,43,0.00,30.16,30.22,30.06,49,57,40,10,10,9,5,14,16
2017-01-14,41,45,36,None,65,86,43,0.00,30.19,30.25,30.15,49,58,40,10,10,10,5,17,20
2017-01-15,42,43,40,None,82,96,68,0.00,30.15,30.18,30.11,47,52,41,9,10,6,3,8,10
2017-01-16,40,44,38,None,73,86,59,0.00,30.14,30.19,30.10,49,54,44,9,10,6,8,16,17
2017-01-17,41,44,38,None,80,89,71,0.00,30.12,30.16,30.09,47,52,41,8,10,7,4,15,17
2017-01-18,47,50,44,Rain,83,89,77,0.90,29.90,30.10,29.71,52,55,49,7,10,2,13,39,50
2017-01-19,46,47,43,"Rain,Thunderstorm",70,77,62,0.05,29.83,29.90,29.65,55,58,51,9,10,2,12,22,26
2017-01-20,43,46,39,"Rain,Thunderstorm",77,86,68,1.19,29.40,29.63,29.34,34,56,11,7,10,2,13,38,49
2017-01-21,43,45,41,Rain,71,80,61,0.28,29.76,29.87,29.53,52,56,48,10,10,7,13,31,38
2017-01-22,44,49,40,"Rain,Thunderstorm",69,83,55,0.68,29.69,29.79,29.62,52,57,47,7,10,2,12,33,45
2017-01-23,41,43,39,Rain,73,86,59,0.32,29.84,29.91,29.73,50,54,45,10,10,3,5,17,21
2017-01-24,40,42,38,None,74,89,59,0.00,30.08,30.23,29.90,48,54,41,10,10,10,5,15,17
2017-01-25,41,44,39,None,74,89,59,0.00,30.32,30.40,30.23,49,56,41,10,10,10,5,15,17
2017-01-26,42,44,39,None,74,92,55,0.00,30.43,30.48,30.39,50,56,43,10,10,8,4,13,14
2017-01-27,38,43,32,None,62,83,40,0.00,30.55,30.59,30.48,50,58,41,10,10,10,5,14,17
2017-01-28,40,46,36,None,67,86,47,0.00,30.52,30.58,30.47,50,59,41,10,10,9,3,10,12
2017-01-29,42,48,38,None,72,89,55,0.00,30.39,30.47,30.29,51,60,41,10,10,8,3,8,9
2017-01-30,42,47,38,None,69,89,49,0.00,30.21,30.27,30.14,51,60,42,10,10,10,2,8,12
2017-01-31,44,48,38,None,75,92,57,0.00,30.09,30.16,30.02,51,59,42,8,10,6,1,7,9
2017-02-01,45,48,43,Rain,78,89,66,0.01,29.96,30.01,29.88,52,56,47,8,10,4,6,20,21
2017-02-02,51,55,47,Rain,82,86,78,0.15,29.95,30.00,29.90,57,62,51,10,10,4,10,21,25
2017-02-03,52,54,50,Rain,79,86,72,0.44,29.95,30.06,29.82,58,61,55,8,10,2,15,33,43
2017-02-04,51,53,48,Rain,78,86,69,0.18,30.09,30.14,30.06,57,61,53,9,10,5,9,14,17
2017-02-05,49,52,48,Rain,77,89,64,0.16,29.87,30.06,29.74,56,61,50,10,10,6,12,33,43
2017-02-06,53,54,50,Rain,81,86,75,0.15,29.84,29.88,29.75,58,60,56,6,10,2,9,18,23
2017-02-07,56,59,54,"Rain,Thunderstorm",86,93,78,0.93,29.89,30.08,29.72,60,63,56,7,10,1,16,41,55
2017-02-08,57,60,55,Rain,83,93,73,0.26,30.06,30.11,30.03,60,64,56,8,10,3,12,23,35
2017-02-09,55,57,53,Rain,81,90,72,0.64,29.94,30.04,29.88,61,63,58,9,10,4,14,37,45
2017-02-10,50,55,41,Rain,75,93,57,0.12,30.04,30.15,29.97,57,62,51,9,10,3,9,23,26
2017-02-11,43,47,39,None,67,83,51,0.00,30.20,30.25,30.16,53,59,47,10,10,10,9,21,24
2017-02-12,44,48,33,None,60,89,31,0.00,30.20,30.27,30.16,54,64,44,10,10,10,6,21,24
2017-02-13,47,50,41,None,75,86,64,0.00,30.15,30.21,30.10,55,63,46,10,10,9,6,18,22
2017-02-14,48,50,43,None,71,89,52,0.00,30.11,30.16,30.05,57,66,48,10,10,10,4,18,21
2017-02-15,49,53,39,None,68,89,46,0.00,30.04,30.14,29.94,57,63,51,10,10,10,7,24,33
2017-02-16,51,55,47,Rain,71,86,56,0.37,29.88,29.97,29.73,60,64,55,9,10,2,12,33,44
2017-02-17,52,54,49,Rain,85,93,77,0.86,29.32,29.68,29.15,57,59,54,8,10,3,12,28,34
